judge,injection_type,metric,fpr_improvement
deepseek-v3,adversarial_fact,faithfulness,-0.022500000000000075
deepseek-v3,adversarial_fact,answer_relevance,0.022499999999999964
deepseek-v3,adversarial_fact,context_relevance,-0.08875000000000002
deepseek-v3,random_noise,faithfulness,-0.020000000000000018
deepseek-v3,random_noise,answer_relevance,-0.008750000000000036
deepseek-v3,random_noise,context_relevance,-0.0975
deepseek-v3,poisonedrag_style,faithfulness,-0.03249999999999997
deepseek-v3,poisonedrag_style,answer_relevance,-0.01750000000000007
deepseek-v3,poisonedrag_style,context_relevance,-0.16999999999999998
gpt-5.4-nano,adversarial_fact,faithfulness,-0.0024999999999999467
gpt-5.4-nano,adversarial_fact,answer_relevance,-0.03500000000000003
gpt-5.4-nano,adversarial_fact,context_relevance,0.020000000000000018
gpt-5.4-nano,random_noise,faithfulness,-0.004999999999999893
gpt-5.4-nano,random_noise,answer_relevance,-0.016249999999999987
gpt-5.4-nano,random_noise,context_relevance,-0.05624999999999991
gpt-5.4-nano,poisonedrag_style,faithfulness,-0.08374999999999999
gpt-5.4-nano,poisonedrag_style,answer_relevance,-0.04749999999999999
gpt-5.4-nano,poisonedrag_style,context_relevance,-0.09249999999999992
gemma-4-26b,adversarial_fact,faithfulness,0.036528822055137855
gemma-4-26b,adversarial_fact,answer_relevance,-0.04818609022556397
gemma-4-26b,adversarial_fact,context_relevance,0.14207706766917294
gemma-4-26b,random_noise,faithfulness,-0.009313204005006237
gemma-4-26b,random_noise,answer_relevance,0.007232478097621953
gemma-4-26b,random_noise,context_relevance,-0.09304443053817268
gemma-4-26b,poisonedrag_style,faithfulness,-0.0024999999999999467
gemma-4-26b,poisonedrag_style,answer_relevance,-0.007500000000000062
gemma-4-26b,poisonedrag_style,context_relevance,-0.09499999999999997
