judge,injection_type,metric,n,fpr
GPT,adversarial_fact,faithfulness,400,0.56
GPT,adversarial_fact,context_relevance,400,0.6975
GPT,adversarial_fact,answer_relevance,400,0.715
GPT,poisonedrag_style,faithfulness,400,0.615
GPT,poisonedrag_style,context_relevance,400,0.8975
GPT,poisonedrag_style,answer_relevance,400,0.795
GPT,random_noise,faithfulness,400,0.49
GPT,random_noise,context_relevance,400,0.565
GPT,random_noise,answer_relevance,400,0.67
GEMINI,adversarial_fact,faithfulness,400,0.62
GEMINI,adversarial_fact,context_relevance,400,0.9325
GEMINI,adversarial_fact,answer_relevance,400,0.8375
GEMINI,poisonedrag_style,faithfulness,399,0.9073
GEMINI,poisonedrag_style,context_relevance,399,0.9875
GEMINI,poisonedrag_style,answer_relevance,399,0.9599
GEMINI,random_noise,faithfulness,400,0.57
GEMINI,random_noise,context_relevance,400,0.66
GEMINI,random_noise,answer_relevance,400,0.87
DEEPSEEK,adversarial_fact,faithfulness,400,0.3975
DEEPSEEK,adversarial_fact,context_relevance,400,0.2575
DEEPSEEK,adversarial_fact,answer_relevance,400,0.615
DEEPSEEK,poisonedrag_style,faithfulness,400,0.375
DEEPSEEK,poisonedrag_style,context_relevance,400,0.53
DEEPSEEK,poisonedrag_style,answer_relevance,400,0.72
DEEPSEEK,random_noise,faithfulness,400,0.465
DEEPSEEK,random_noise,context_relevance,400,0.19
DEEPSEEK,random_noise,answer_relevance,400,0.62
