judge,noise_level,metric,fpr,fpr_ci_lower,fpr_ci_upper,clean_mean,poisoned_mean,mannwhitney_p,effect_size_rbc
deepseek-v3,0.1,answer_relevance,0.78,0.7,0.86,0.8160000000000001,0.7880000000000001,0.4119888827615025,-0.05499999999999994
deepseek-v3,0.2,answer_relevance,0.72,0.63,0.81,0.807,0.745,0.2746012579331658,-0.07499999999999996
deepseek-v3,0.3,answer_relevance,0.64,0.55,0.73,0.8130000000000002,0.6679999999999999,0.007260465480529937,-0.1924999999999999
deepseek-v3,0.4,answer_relevance,0.57,0.48,0.67,0.8029999999999999,0.605,0.0021680398731237743,-0.21999999999999997
deepseek-v3,0.5,answer_relevance,0.53,0.43,0.63,0.813,0.5939999999999999,0.00023578558825093428,-0.2688999999999999
deepseek-v3,0.6,answer_relevance,0.48,0.38,0.58,0.8079999999999999,0.534,4.112734618184816e-05,-0.30269999999999997
deepseek-v3,0.7,answer_relevance,0.45,0.35,0.55,0.811,0.48800000000000004,6.544507596412957e-08,-0.4025000000000001
deepseek-v3,0.8,answer_relevance,0.39,0.29,0.49,0.81,0.46799999999999997,5.344819980039468e-09,-0.4421999999999999
deepseek-v3,0.1,context_relevance,0.3,0.21,0.39,0.446,0.396,0.15064575570976138,-0.11610000000000009
deepseek-v3,0.2,context_relevance,0.22,0.14,0.3,0.43900000000000006,0.354,0.012756383268381303,-0.20090000000000008
deepseek-v3,0.3,context_relevance,0.17,0.1,0.25,0.45300000000000007,0.30999999999999994,3.6166047013043055e-05,-0.3338000000000001
deepseek-v3,0.4,context_relevance,0.2,0.12,0.28,0.441,0.30900000000000005,0.00014697785930346677,-0.30699999999999994
deepseek-v3,0.5,context_relevance,0.11,0.05,0.17,0.4529999999999999,0.245,7.274064061387266e-10,-0.4972000000000001
deepseek-v3,0.6,context_relevance,0.1,0.04,0.16,0.433,0.23000000000000004,2.927788929260575e-09,-0.48009999999999997
deepseek-v3,0.7,context_relevance,0.05,0.01,0.1,0.44600000000000006,0.17100000000000004,8.304035915385001e-16,-0.6511
deepseek-v3,0.8,context_relevance,0.02,0.0,0.05,0.4479999999999999,0.12899999999999998,2.6670310853307306e-20,-0.7458
deepseek-v3,0.1,faithfulness,0.76,0.6797500000000003,0.84,0.801,0.7390000000000001,0.1881827132472892,-0.09509999999999996
