judge,noise_level,metric,fpr,fpr_ci_lower,fpr_ci_upper,clean_mean,poisoned_mean,mannwhitney_p,effect_size_rbc
deepseek-v3,0.2,answer_relevance,0.77,0.68,0.86,0.84,0.77,0.2133539956179905,-0.07000000000000006
deepseek-v3,0.4,answer_relevance,0.67,0.57,0.7602499999999998,0.84,0.67,0.00533076719603678,-0.16999999999999993
deepseek-v3,0.6,answer_relevance,0.57,0.48,0.67,0.85,0.57,1.3562842122225905e-05,-0.28
deepseek-v3,0.8,answer_relevance,0.47,0.37,0.57,0.85,0.47,1.5441344185596118e-08,-0.3799999999999999
deepseek-v3,0.2,context_relevance,0.46,0.36,0.56,0.5390000000000001,0.37900000000000006,0.00017679320838238027,-0.2971999999999999
deepseek-v3,0.4,context_relevance,0.21,0.13,0.29,0.5310000000000001,0.207,1.23068531399227e-13,-0.5885
deepseek-v3,0.6,context_relevance,0.07,0.03,0.12,0.533,0.10799999999999998,6.597318987504148e-22,-0.764
deepseek-v3,0.8,context_relevance,0.02,0.0,0.05,0.54,0.049,1.2871062306639269e-27,-0.8504
deepseek-v3,0.2,faithfulness,0.7,0.61,0.79,0.79,0.7,0.14572026413023997,-0.09000000000000008
deepseek-v3,0.4,faithfulness,0.52,0.42,0.61,0.78,0.52,0.00012135662106432548,-0.26
deepseek-v3,0.6,faithfulness,0.41,0.32,0.51,0.77,0.41,2.4521975386791493e-07,-0.3600000000000001
deepseek-v3,0.8,faithfulness,0.23,0.14,0.31024999999999975,0.79,0.23,2.7903408697059637e-15,-0.56
gemma-4-26b,0.2,answer_relevance,0.86,0.79,0.92,0.9575757575757575,0.897,0.017825383561918113,-0.12111111111111117
gemma-4-26b,0.4,answer_relevance,0.79,0.7097500000000002,0.87,0.958,0.845,0.0018294554027051442,-0.16700000000000004
gemma-4-26b,0.6,answer_relevance,0.77,0.69,0.85,0.9579999999999999,0.805,0.0007084806128672258,-0.18359999999999999
gemma-4-26b,0.8,answer_relevance,0.79,0.71,0.87,0.9579999999999999,0.8130000000000002,0.0005496641515360059,-0.1895
gemma-4-26b,0.2,context_relevance,0.7,0.62,0.78,0.9070707070707071,0.765,8.535525867780237e-06,-0.32020202020202015
gemma-4-26b,0.4,context_relevance,0.61,0.51,0.71,0.9079999999999999,0.6960000000000001,6.062107918298059e-09,-0.4292
gemma-4-26b,0.6,context_relevance,0.5,0.4,0.61,0.9080000000000001,0.601,2.6257570077225465e-14,-0.5811
gemma-4-26b,0.8,context_relevance,0.25,0.17,0.34,0.907,0.415,1.64513563650806e-20,-0.7171000000000001
gemma-4-26b,0.2,faithfulness,0.79,0.71,0.87,0.9565656565656566,0.804,0.0009705746679809871,-0.19313131313131304
gemma-4-26b,0.4,faithfulness,0.59,0.49,0.69,0.9570000000000002,0.6399999999999999,1.537313198084285e-09,-0.4025000000000001
gemma-4-26b,0.6,faithfulness,0.35,0.25,0.44,0.9570000000000001,0.44,8.867778375216629e-19,-0.6433
gemma-4-26b,0.8,faithfulness,0.23,0.15,0.32,0.9570000000000001,0.281,7.374420921884103e-27,-0.8004
gpt-5.4-nano,0.2,answer_relevance,0.82,0.74,0.9,0.8399000000000001,0.7957000000000001,0.43683143191377116,-0.05790000000000006
gpt-5.4-nano,0.4,answer_relevance,0.7,0.62,0.79,0.8497000000000001,0.6826000000000001,0.044116079949664655,-0.15159999999999996
gpt-5.4-nano,0.6,answer_relevance,0.65,0.56,0.74,0.8438000000000001,0.639,0.0022985223659610543,-0.2309000000000001
gpt-5.4-nano,0.8,answer_relevance,0.5,0.4,0.6,0.8342,0.5152,2.9514095804658226e-06,-0.367
gpt-5.4-nano,0.2,context_relevance,0.77,0.68,0.86,0.7303000000000001,0.6910000000000001,0.35547331452225917,-0.07529999999999992
gpt-5.4-nano,0.4,context_relevance,0.6,0.5,0.69,0.7195,0.5783999999999999,0.006672017338250341,-0.2208000000000001
gpt-5.4-nano,0.6,context_relevance,0.42,0.32975000000000027,0.52,0.7697999999999999,0.44249999999999995,1.435311548062256e-12,-0.5769
gpt-5.4-nano,0.8,context_relevance,0.38,0.28975000000000023,0.47,0.7199999999999998,0.36619999999999997,5.134019465285979e-11,-0.536
gpt-5.4-nano,0.2,faithfulness,0.7,0.61,0.79,0.7005,0.6678000000000001,0.645145051373079,-0.03730000000000011
gpt-5.4-nano,0.4,faithfulness,0.57,0.47,0.66,0.7116,0.545,0.009759270355651007,-0.20920000000000005
gpt-5.4-nano,0.6,faithfulness,0.42,0.32,0.52,0.7218000000000002,0.41180000000000005,1.1633773367964887e-06,-0.39270000000000005
gpt-5.4-nano,0.8,faithfulness,0.25,0.16975000000000023,0.3402499999999998,0.721,0.2475,9.643806691286059e-16,-0.6448
