judge,injection_type,metric,fpr_before,fpr_after,abs_reduction,rel_improvement_pct,wilcoxon_p
gpt-5.4-nano,adversarial_fact,faithfulness,0.56,0.5675,-0.007499999999999951,-1.3392857142857053,0.9921889524413777
gpt-5.4-nano,adversarial_fact,answer_relevance,0.715,0.7075,0.007499999999999951,1.0489510489510423,0.8014046424900643
gpt-5.4-nano,adversarial_fact,context_relevance,0.6975,0.665,0.03249999999999997,4.659498207885301,0.024960814092816686
gpt-5.4-nano,poisonedrag_style,faithfulness,0.615,0.765,-0.15000000000000002,-24.39024390243903,2.7412818934956364e-08
gpt-5.4-nano,poisonedrag_style,answer_relevance,0.795,0.875,-0.07999999999999996,-10.062893081761,0.018763609846211903
gpt-5.4-nano,poisonedrag_style,context_relevance,0.8975,0.825,0.07250000000000001,8.077994428969362,0.12699118152077588
gpt-5.4-nano,random_noise,faithfulness,0.49,0.51,-0.020000000000000018,-4.081632653061228,0.6714486013997052
gpt-5.4-nano,random_noise,answer_relevance,0.67,0.7125,-0.04249999999999998,-6.3432835820895495,0.034253932087573845
gpt-5.4-nano,random_noise,context_relevance,0.565,0.61,-0.04500000000000004,-7.964601769911512,0.7508178258570095
deepseek-v3,adversarial_fact,faithfulness,0.3975,0.5325,-0.13499999999999995,-33.96226415094338,5.63091382673597e-06
deepseek-v3,adversarial_fact,answer_relevance,0.615,0.6375,-0.022499999999999964,-3.658536585365848,0.6776615655386118
deepseek-v3,adversarial_fact,context_relevance,0.2575,0.445,-0.1875,-72.81553398058253,4.419700644452912e-12
deepseek-v3,poisonedrag_style,faithfulness,0.375,0.7375,-0.36250000000000004,-96.66666666666669,1.0007458551952657e-31
deepseek-v3,poisonedrag_style,answer_relevance,0.72,0.8075,-0.08750000000000002,-12.152777777777782,0.0009047348301550403
deepseek-v3,poisonedrag_style,context_relevance,0.53,0.64,-0.10999999999999999,-20.75471698113207,0.8357083451029249
deepseek-v3,random_noise,faithfulness,0.465,0.525,-0.06,-12.903225806451612,0.07810631127043015
deepseek-v3,random_noise,answer_relevance,0.62,0.6425,-0.022499999999999964,-3.6290322580645102,0.9309641605208375
deepseek-v3,random_noise,context_relevance,0.19,0.42,-0.22999999999999998,-121.05263157894737,1.559562073650455e-17
gemma-4-26b,adversarial_fact,faithfulness,0.62,0.6,0.020000000000000018,3.2258064516129057,0.11357025719501455
gemma-4-26b,adversarial_fact,answer_relevance,0.8375,0.835,0.0025000000000000577,0.2985074626865741,0.5506059779353473
gemma-4-26b,adversarial_fact,context_relevance,0.9325,0.7825,0.15000000000000002,16.085790884718502,2.669152495630591e-15
gemma-4-26b,poisonedrag_style,faithfulness,0.9072681704260651,0.9275,-0.02023182957393488,-2.2299723756906125,0.01719009726059173
gemma-4-26b,poisonedrag_style,answer_relevance,0.9598997493734336,0.955,0.004899749373433626,0.5104438642297694,0.8934990375615945
gemma-4-26b,poisonedrag_style,context_relevance,0.9874686716791979,0.955,0.03246867167919798,3.2880710659898464,0.00016969039164134824
gemma-4-26b,random_noise,faithfulness,0.57,0.5875,-0.01750000000000007,-3.070175438596504,0.4508513149298099
gemma-4-26b,random_noise,answer_relevance,0.87,0.8375,0.03249999999999997,3.735632183908043,0.18000205511341705
gemma-4-26b,random_noise,context_relevance,0.66,0.72,-0.05999999999999994,-9.090909090909081,0.00016077853019496685
