judge,noise_level,metric,n,fpr
GPT,0.2,faithfulness,300,0.7
GPT,0.2,context_relevance,300,0.8567
GPT,0.2,answer_relevance,300,0.82
GPT,0.4,faithfulness,300,0.5967
GPT,0.4,context_relevance,300,0.7567
GPT,0.4,answer_relevance,300,0.7433
GPT,0.6,faithfulness,300,0.5
GPT,0.6,context_relevance,300,0.6733
GPT,0.6,answer_relevance,300,0.7133
GPT,0.8,faithfulness,300,0.4233
GPT,0.8,context_relevance,300,0.5933
GPT,0.8,answer_relevance,300,0.63
GEMINI,0.2,faithfulness,300,0.85
GEMINI,0.2,context_relevance,300,0.9333
GEMINI,0.2,answer_relevance,300,0.9367
GEMINI,0.4,faithfulness,300,0.7467
GEMINI,0.4,context_relevance,300,0.8933
GEMINI,0.4,answer_relevance,300,0.9
GEMINI,0.6,faithfulness,300,0.6433
GEMINI,0.6,context_relevance,300,0.8533
GEMINI,0.6,answer_relevance,300,0.86
GEMINI,0.8,faithfulness,299,0.5552
GEMINI,0.8,context_relevance,299,0.7592
GEMINI,0.8,answer_relevance,299,0.8595
DEEPSEEK,0.2,faithfulness,300,0.5967
DEEPSEEK,0.2,context_relevance,300,0.4967
DEEPSEEK,0.2,answer_relevance,300,0.7533
DEEPSEEK,0.4,faithfulness,300,0.46
DEEPSEEK,0.4,context_relevance,300,0.3667
DEEPSEEK,0.4,answer_relevance,300,0.69
DEEPSEEK,0.6,faithfulness,300,0.36
DEEPSEEK,0.6,context_relevance,300,0.2433
DEEPSEEK,0.6,answer_relevance,300,0.63
DEEPSEEK,0.8,faithfulness,300,0.2333
DEEPSEEK,0.8,context_relevance,300,0.1967
DEEPSEEK,0.8,answer_relevance,300,0.5333
