judge,injection_type,metric,pearson_r,pearson_p,spearman_r,spearman_p,n_noise_levels
deepseek-v3,adversarial_fact,answer_relevance,-0.9764497808885232,3.207910873313597e-05,-1.0,0.0,8
deepseek-v3,adversarial_fact,context_relevance,-0.961073945535386,0.00014318418169629622,-0.9700772721497397,6.548558831120658e-05,8
deepseek-v3,adversarial_fact,faithfulness,-0.9834530037091563,1.1186446574156592e-05,-1.0,0.0,8
deepseek-v3,poisonedrag_style,answer_relevance,-0.18300360434867094,0.6644523318351945,-0.203596464525254,0.6286746732890387,8
deepseek-v3,poisonedrag_style,context_relevance,-0.40499526419597076,0.31958278637706417,-0.28234145428063595,0.49807110466292026,8
deepseek-v3,poisonedrag_style,faithfulness,-0.020712325533373294,0.9611754951911275,-0.012123216124221799,0.9772711968911272,8
deepseek-v3,random_noise,answer_relevance,-0.9919692415546341,1.2870346221347415e-06,-1.0,0.0,8
deepseek-v3,random_noise,context_relevance,-0.970005939638513,6.595147127974551e-05,-0.9761904761904763,3.3143960262001043e-05,8
deepseek-v3,random_noise,faithfulness,-0.982250976276733,1.379317243365712e-05,-1.0,0.0,8
gemma-4-26b,adversarial_fact,answer_relevance,-0.9840945376262255,9.939938422085747e-06,-0.9940297973880048,5.296153515645123e-07,8
gemma-4-26b,adversarial_fact,context_relevance,-0.9535860107798069,0.00024134853480692496,-0.9523809523809524,0.00026040002438725105,8
gemma-4-26b,adversarial_fact,faithfulness,-0.9825951615915389,1.3009588037407312e-05,-1.0,0.0,8
gemma-4-26b,poisonedrag_style,answer_relevance,-0.38846548443275264,0.3415867901618761,-0.38297881360823566,0.34904080996458986,8
gemma-4-26b,poisonedrag_style,context_relevance,-0.2857545470102956,0.4926625785119205,-0.30952380952380953,0.4556448907375822,8
gemma-4-26b,poisonedrag_style,faithfulness,-0.3149703941743587,0.4473268744275574,-0.09622504486493764,0.820688663020298,8
gemma-4-26b,random_noise,answer_relevance,-0.9908655164710279,1.8923956560566148e-06,-1.0,0.0,8
gemma-4-26b,random_noise,context_relevance,-0.9827054240913111,1.2764959537806643e-05,-0.9940297973880048,5.296153515645123e-07,8
gemma-4-26b,random_noise,faithfulness,-0.9864535618271024,6.151662748526702e-06,-1.0,0.0,8
gpt-5.4-nano,adversarial_fact,answer_relevance,-0.9480021661874245,0.00033791162259850594,-0.9523809523809524,0.00026040002438725105,8
gpt-5.4-nano,adversarial_fact,context_relevance,-0.9295621767917277,0.0008281854091911732,-0.880952380952381,0.0038503204637324014,8
gpt-5.4-nano,adversarial_fact,faithfulness,-0.9907143965789257,1.9876548084765166e-06,-1.0,0.0,8
gpt-5.4-nano,poisonedrag_style,answer_relevance,-0.17734565384022533,0.6743833422819281,-0.024397501823713332,0.9542728337420903,8
gpt-5.4-nano,poisonedrag_style,context_relevance,-0.3360978676500442,0.41566598942835287,-0.3333333333333334,0.4197530864197531,8
gpt-5.4-nano,poisonedrag_style,faithfulness,-0.4313221655760953,0.2859761742707964,-0.3494229522161129,0.39620768253985933,8
gpt-5.4-nano,random_noise,answer_relevance,-0.9497219406579929,0.0003058815294889973,-0.9285714285714287,0.0008629681828999769,8
gpt-5.4-nano,random_noise,context_relevance,-0.9817326379945812,1.5031362824353861e-05,-1.0,0.0,8
gpt-5.4-nano,random_noise,faithfulness,-0.9564932040394168,0.0001992192640199545,-0.9700772721497397,6.548558831120658e-05,8
