judge,condition,metric,noise_level,clean_mean,clean_n,standard_mean,standard_n,true_mean,true_n,survived_mean,survived_n,true_fpr,survived_fpr
GPT,baseline,faithfulness,0.2,0.7048666666666666,300,0.6433666666666668,300,0.5586585365853659,82,0.6752293577981651,218,0.573170731707317,0.7477064220183486
GPT,baseline,context_relevance,0.2,0.7295666666666667,300,0.7083333333333334,300,0.6341463414634146,82,0.7362385321100917,218,0.7439024390243902,0.8990825688073395
GPT,baseline,answer_relevance,0.2,0.8479333333333333,300,0.7990666666666667,300,0.7324390243902439,82,0.8241284403669726,218,0.7560975609756098,0.8440366972477065
GPT,baseline,faithfulness,0.4,0.7211333333333334,300,0.5546666666666666,300,0.44776119402985076,134,0.6409638554216868,166,0.4701492537313433,0.6987951807228916
GPT,baseline,context_relevance,0.4,0.7256666666666667,300,0.6613,300,0.5750746268656717,134,0.7309036144578314,166,0.6268656716417911,0.8614457831325302
GPT,baseline,answer_relevance,0.4,0.8635666666666668,300,0.7292,300,0.6013432835820897,134,0.8324096385542169,166,0.6119402985074627,0.8493975903614458
GPT,baseline,faithfulness,0.6,0.7131333333333333,300,0.4817666666666668,300,0.37202380952380953,168,0.621439393939394,132,0.38095238095238093,0.6515151515151515
GPT,baseline,context_relevance,0.6,0.7444999999999999,300,0.5821666666666666,300,0.46517857142857144,168,0.7310606060606061,132,0.5,0.8939393939393939
GPT,baseline,answer_relevance,0.6,0.8440666666666667,300,0.6972333333333333,300,0.6417857142857143,168,0.7678030303030303,132,0.6488095238095238,0.7954545454545454
GPT,baseline,faithfulness,0.8,0.7241000000000001,300,0.39666666666666667,300,0.2955729166666667,192,0.5763888888888888,108,0.3020833333333333,0.6388888888888888
GPT,baseline,context_relevance,0.8,0.7348333333333333,300,0.5442333333333333,300,0.4448958333333333,192,0.7208333333333335,108,0.4479166666666667,0.8518518518518519
GPT,baseline,answer_relevance,0.8,0.8471,300,0.6191333333333333,300,0.5425,192,0.7553703703703705,108,0.5416666666666666,0.7870370370370371
GEMINI,baseline,faithfulness,0.2,0.95685618729097,299,0.8383333333333334,300,0.6060975609756097,82,0.9256880733944954,218,0.5853658536585366,0.9495412844036697
GEMINI,baseline,context_relevance,0.2,0.9073578595317726,299,0.8703333333333334,300,0.7987804878048781,82,0.8972477064220183,218,0.8780487804878049,0.9541284403669725
GEMINI,baseline,answer_relevance,0.2,0.9578595317725752,299,0.9203333333333334,300,0.8207317073170733,82,0.9577981651376146,218,0.8658536585365854,0.963302752293578
GEMINI,baseline,faithfulness,0.4,0.9570000000000001,300,0.7461666666666666,300,0.5276119402985073,134,0.9225903614457832,166,0.5223880597014925,0.927710843373494
GEMINI,baseline,context_relevance,0.4,0.9076666666666667,300,0.8326666666666667,300,0.7358208955223882,134,0.910843373493976,166,0.8059701492537313,0.963855421686747
GEMINI,baseline,answer_relevance,0.4,0.958,300,0.8714999999999999,300,0.7582089552238805,134,0.9629518072289156,166,0.7985074626865671,0.9819277108433735
GEMINI,baseline,faithfulness,0.6,0.9569999999999999,300,0.6225,300,0.3999999999999999,168,0.9056818181818181,132,0.4107142857142857,0.9393939393939394
GEMINI,baseline,context_relevance,0.6,0.9079999999999999,300,0.81,300,0.7005952380952382,168,0.9492424242424243,132,0.7559523809523809,0.9772727272727273
GEMINI,baseline,answer_relevance,0.6,0.958,300,0.8370000000000001,300,0.7470238095238095,168,0.9515151515151514,132,0.7678571428571429,0.9772727272727273
GEMINI,baseline,faithfulness,0.8,0.95685618729097,299,0.5376254180602007,299,0.3494791666666666,192,0.8752336448598131,107,0.3645833333333333,0.897196261682243
GEMINI,baseline,context_relevance,0.8,0.9093645484949834,299,0.7372909698996656,299,0.6174479166666668,192,0.9523364485981309,107,0.6302083333333334,0.9906542056074766
GEMINI,baseline,answer_relevance,0.8,0.9578595317725752,299,0.831438127090301,299,0.7666666666666666,192,0.9476635514018692,107,0.8020833333333334,0.9626168224299065
DEEPSEEK,baseline,faithfulness,0.2,0.7866666666666666,300,0.5923333333333333,300,0.524390243902439,82,0.6178899082568807,218,0.524390243902439,0.6238532110091743
DEEPSEEK,baseline,context_relevance,0.2,0.5336666666666666,300,0.4280000000000001,300,0.2682926829268293,82,0.48807339449541287,218,0.2804878048780488,0.5779816513761468
DEEPSEEK,baseline,answer_relevance,0.2,0.8333333333333334,300,0.7516666666666667,300,0.6585365853658537,82,0.786697247706422,218,0.6585365853658537,0.7889908256880734
DEEPSEEK,baseline,faithfulness,0.4,0.78,300,0.455,300,0.3485074626865672,134,0.5409638554216868,166,0.35074626865671643,0.5481927710843374
DEEPSEEK,baseline,context_relevance,0.4,0.535,300,0.341,300,0.17313432835820894,134,0.4765060240963855,166,0.14925373134328357,0.5421686746987951
DEEPSEEK,baseline,answer_relevance,0.4,0.8366666666666667,300,0.69,300,0.5671641791044776,134,0.7891566265060241,166,0.5671641791044776,0.7891566265060241
DEEPSEEK,baseline,faithfulness,0.6,0.7733333333333333,300,0.3546666666666667,300,0.31547619047619047,168,0.40454545454545454,132,0.31547619047619047,0.4166666666666667
DEEPSEEK,baseline,context_relevance,0.6,0.5346666666666667,300,0.25900000000000006,300,0.10952380952380951,168,0.44924242424242433,132,0.06547619047619048,0.4696969696969697
DEEPSEEK,baseline,answer_relevance,0.6,0.8366666666666667,300,0.63,300,0.5357142857142857,168,0.75,132,0.5357142857142857,0.75
DEEPSEEK,baseline,faithfulness,0.8,0.78,300,0.22699999999999998,300,0.19791666666666666,192,0.2787037037037037,108,0.19791666666666666,0.2962962962962963
DEEPSEEK,baseline,context_relevance,0.8,0.5283333333333333,300,0.21733333333333335,300,0.07447916666666667,192,0.47129629629629627,108,0.041666666666666664,0.4722222222222222
DEEPSEEK,baseline,answer_relevance,0.8,0.8466666666666667,300,0.5333333333333333,300,0.46875,192,0.6481481481481481,108,0.46875,0.6481481481481481
GPT,postfilter,faithfulness,0.2,0.7148333333333334,300,0.7029,300,0.6430487804878049,82,0.7254128440366971,218,0.7195121951219512,0.7752293577981652
GPT,postfilter,context_relevance,0.2,0.7162333333333334,300,0.7088000000000001,300,0.7262195121951219,82,0.7022477064220183,218,0.8414634146341463,0.8486238532110092
GPT,postfilter,answer_relevance,0.2,0.8378333333333334,300,0.8424,300,0.8192682926829269,82,0.8511009174311926,218,0.8414634146341463,0.8623853211009175
GPT,postfilter,faithfulness,0.4,0.7253666666666667,300,0.6361,300,0.5720149253731344,134,0.6878313253012048,166,0.6119402985074627,0.7590361445783133
GPT,postfilter,context_relevance,0.4,0.72,300,0.6455666666666667,300,0.6063432835820896,134,0.6772289156626506,166,0.7313432835820896,0.8132530120481928
GPT,postfilter,answer_relevance,0.4,0.8424333333333334,300,0.8145333333333333,300,0.7643283582089554,134,0.8550602409638556,166,0.7761194029850746,0.8734939759036144
GPT,postfilter,faithfulness,0.6,0.7035999999999999,300,0.5178333333333334,300,0.4443452380952381,168,0.6113636363636364,132,0.48214285714285715,0.6515151515151515
GPT,postfilter,context_relevance,0.6,0.7211666666666667,300,0.5922666666666666,300,0.5528571428571429,168,0.6424242424242425,132,0.6190476190476191,0.7424242424242424
GPT,postfilter,answer_relevance,0.6,0.8650999999999999,300,0.7348,300,0.6789285714285714,168,0.805909090909091,132,0.6904761904761905,0.8181818181818182
GPT,postfilter,faithfulness,0.8,0.7034666666666667,300,0.41936666666666667,300,0.2680208333333333,192,0.688425925925926,108,0.2708333333333333,0.7592592592592593
GPT,postfilter,context_relevance,0.8,0.7260666666666666,300,0.47850000000000004,300,0.3551041666666667,192,0.6978703703703703,108,0.3333333333333333,0.8055555555555556
GPT,postfilter,answer_relevance,0.8,0.8410333333333333,300,0.6177333333333334,300,0.49552083333333335,192,0.835,108,0.5,0.8518518518518519
GEMINI,postfilter,faithfulness,0.2,0.9556666666666667,300,0.8756666666666668,300,0.8487804878048781,82,0.8857798165137616,218,0.8658536585365854,0.8944954128440367
GEMINI,postfilter,context_relevance,0.2,0.912,300,0.8896666666666666,300,0.8707317073170731,82,0.8967889908256881,218,0.9878048780487805,0.926605504587156
GEMINI,postfilter,answer_relevance,0.2,0.959,300,0.9201666666666667,300,0.9329268292682927,82,0.9153669724770641,218,0.926829268292683,0.9311926605504587
GEMINI,postfilter,faithfulness,0.4,0.9553333333333333,300,0.7763333333333332,300,0.6805970149253731,134,0.8536144578313253,166,0.6865671641791045,0.8614457831325302
GEMINI,postfilter,context_relevance,0.4,0.9116666666666666,300,0.8233333333333334,300,0.7917910447761194,134,0.8487951807228914,166,0.8283582089552238,0.8975903614457831
GEMINI,postfilter,answer_relevance,0.4,0.959,300,0.8816666666666667,300,0.832089552238806,134,0.9216867469879518,166,0.8582089552238806,0.9397590361445783
GEMINI,postfilter,faithfulness,0.6,0.9560000000000001,300,0.6005,300,0.4636904761904762,168,0.7746212121212122,132,0.4880952380952381,0.7878787878787878
GEMINI,postfilter,context_relevance,0.6,0.9116666666666666,300,0.7296666666666666,300,0.6523809523809524,168,0.8280303030303029,132,0.6964285714285714,0.8636363636363636
GEMINI,postfilter,answer_relevance,0.6,0.9590000000000002,300,0.8406666666666667,300,0.7982142857142859,168,0.8946969696969697,132,0.8035714285714286,0.9318181818181818
GEMINI,postfilter,faithfulness,0.8,0.9560000000000001,300,0.5038333333333332,300,0.2981770833333333,192,0.8694444444444445,108,0.3333333333333333,0.8796296296296297
GEMINI,postfilter,context_relevance,0.8,0.9113333333333334,300,0.6403333333333334,300,0.5013020833333334,192,0.8875000000000001,108,0.546875,0.9629629629629629
GEMINI,postfilter,answer_relevance,0.8,0.959,300,0.79,300,0.7151041666666668,192,0.923148148148148,108,0.7291666666666666,0.9537037037037037
DEEPSEEK,postfilter,faithfulness,0.2,0.7766666666666666,300,0.74,300,0.6707317073170732,82,0.7660550458715596,218,0.6707317073170732,0.7660550458715596
DEEPSEEK,postfilter,context_relevance,0.2,0.5373333333333333,300,0.4926666666666667,300,0.5036585365853659,82,0.48853211009174313,218,0.6463414634146342,0.6376146788990825
DEEPSEEK,postfilter,answer_relevance,0.2,0.8333333333333334,300,0.82,300,0.8170731707317073,82,0.8211009174311926,218,0.8292682926829268,0.8211009174311926
DEEPSEEK,postfilter,faithfulness,0.4,0.78,300,0.6946666666666665,300,0.6522388059701493,134,0.7289156626506024,166,0.6567164179104478,0.7289156626506024
DEEPSEEK,postfilter,context_relevance,0.4,0.5436666666666667,300,0.4343333333333333,300,0.3947761194029851,134,0.46626506024096387,166,0.48507462686567165,0.5783132530120482
DEEPSEEK,postfilter,answer_relevance,0.4,0.8333333333333334,300,0.7483333333333333,300,0.7014925373134329,134,0.786144578313253,166,0.7014925373134329,0.7891566265060241
DEEPSEEK,postfilter,faithfulness,0.6,0.78,300,0.5453333333333333,300,0.4678571428571428,168,0.6439393939393939,132,0.47023809523809523,0.6439393939393939
DEEPSEEK,postfilter,context_relevance,0.6,0.5400000000000001,300,0.35733333333333334,300,0.2952380952380952,168,0.43636363636363645,132,0.36904761904761907,0.5378787878787878
DEEPSEEK,postfilter,answer_relevance,0.6,0.83,300,0.6433333333333333,300,0.5714285714285714,168,0.7348484848484849,132,0.5773809523809523,0.7348484848484849
DEEPSEEK,postfilter,faithfulness,0.8,0.78,300,0.4093333333333333,300,0.24375,192,0.7037037037037037,108,0.24479166666666666,0.7037037037037037
DEEPSEEK,postfilter,context_relevance,0.8,0.543,300,0.30033333333333334,300,0.19739583333333335,192,0.48333333333333334,108,0.25,0.6296296296296297
DEEPSEEK,postfilter,answer_relevance,0.8,0.83,300,0.5516666666666666,300,0.4296875,192,0.7685185185185185,108,0.4479166666666667,0.7685185185185185
GPT,postfilter_llm,faithfulness,0.2,0.7296,300,0.6815333333333334,300,0.5198780487804878,82,0.7423394495412845,218,0.5365853658536586,0.8027522935779816
GPT,postfilter_llm,context_relevance,0.2,0.7149333333333334,300,0.7193333333333334,300,0.5823170731707317,82,0.7708715596330276,218,0.6585365853658537,0.9174311926605505
GPT,postfilter_llm,answer_relevance,0.2,0.8453,300,0.8198333333333334,300,0.7207317073170731,82,0.8571100917431193,218,0.7317073170731707,0.8761467889908257
GPT,postfilter_llm,faithfulness,0.4,0.7092666666666667,300,0.6232666666666667,300,0.4241044776119403,134,0.7840361445783135,166,0.44776119402985076,0.8373493975903614
GPT,postfilter_llm,context_relevance,0.4,0.7248333333333334,300,0.6709666666666667,300,0.565223880597015,134,0.7563253012048193,166,0.6492537313432836,0.9216867469879518
GPT,postfilter_llm,answer_relevance,0.4,0.8421,300,0.7383000000000001,300,0.6048507462686568,134,0.8460240963855421,166,0.6194029850746269,0.8554216867469879
GPT,postfilter_llm,faithfulness,0.6,0.7210000000000001,300,0.5190333333333332,300,0.3688095238095238,168,0.7102272727272727,132,0.36904761904761907,0.7651515151515151
GPT,postfilter_llm,context_relevance,0.6,0.7305666666666667,300,0.5930666666666667,300,0.46529761904761907,168,0.7556818181818182,132,0.47619047619047616,0.9166666666666666
GPT,postfilter_llm,answer_relevance,0.6,0.8397333333333333,300,0.6902666666666667,300,0.58875,168,0.819469696969697,132,0.5892857142857143,0.8333333333333334
GPT,postfilter_llm,faithfulness,0.8,0.7177000000000001,300,0.4272666666666667,300,0.2809895833333333,192,0.6873148148148148,108,0.3072916666666667,0.7314814814814815
GPT,postfilter_llm,context_relevance,0.8,0.7311333333333333,300,0.5221,300,0.40067708333333335,192,0.7379629629629632,108,0.4114583333333333,0.8796296296296297
GPT,postfilter_llm,answer_relevance,0.8,0.8295333333333332,300,0.6420666666666667,300,0.5420833333333334,192,0.8198148148148149,108,0.5416666666666666,0.8425925925925926
GEMINI,postfilter_llm,faithfulness,0.2,0.9112040133779266,299,0.8185,300,0.5725609756097562,82,0.9110091743119267,218,0.5487804878048781,0.9220183486238532
GEMINI,postfilter_llm,context_relevance,0.2,0.8986622073578595,299,0.8446666666666667,300,0.7487804878048782,82,0.8807339449541285,218,0.8048780487804879,0.944954128440367
GEMINI,postfilter_llm,answer_relevance,0.2,0.9387959866220735,299,0.9083333333333333,300,0.8256097560975608,82,0.9394495412844037,218,0.8780487804878049,0.9541284403669725
GEMINI,postfilter_llm,faithfulness,0.4,0.917,300,0.7462666666666666,300,0.4932835820895522,134,0.9504819277108435,166,0.5,0.963855421686747
GEMINI,postfilter_llm,context_relevance,0.4,0.8993333333333332,300,0.8141666666666667,300,0.6828358208955224,134,0.9201807228915663,166,0.753731343283582,0.9698795180722891
GEMINI,postfilter_llm,answer_relevance,0.4,0.943,300,0.8852999999999999,300,0.7791044776119403,134,0.9710240963855421,166,0.8059701492537313,0.9819277108433735
GEMINI,postfilter_llm,faithfulness,0.6,0.9121666666666666,300,0.6195652173913043,299,0.38832335329341316,167,0.9121212121212121,132,0.41916167664670656,0.9242424242424242
GEMINI,postfilter_llm,context_relevance,0.6,0.895,300,0.752675585284281,299,0.6122754491017964,167,0.9303030303030304,132,0.6586826347305389,0.9696969696969697
GEMINI,postfilter_llm,answer_relevance,0.6,0.9376666666666668,300,0.8511705685618729,299,0.777245508982036,167,0.9446969696969696,132,0.8023952095808383,0.9545454545454546
GEMINI,postfilter_llm,faithfulness,0.8,0.8989999999999999,300,0.5239130434782608,299,0.33307291666666666,192,0.866355140186916,107,0.3697916666666667,0.8878504672897196
GEMINI,postfilter_llm,context_relevance,0.8,0.8856666666666666,300,0.6575250836120402,299,0.5020833333333333,192,0.9364485981308411,107,0.5208333333333334,0.9626168224299065
GEMINI,postfilter_llm,answer_relevance,0.8,0.9289999999999998,300,0.8458193979933111,299,0.7927083333333332,192,0.9411214953271027,107,0.8072916666666666,0.9439252336448598
DEEPSEEK,postfilter_llm,faithfulness,0.2,0.7933333333333333,300,0.6906666666666667,300,0.5609756097560976,82,0.7394495412844037,218,0.5609756097560976,0.7431192660550459
DEEPSEEK,postfilter_llm,context_relevance,0.2,0.5523333333333333,300,0.4570000000000001,300,0.31097560975609756,82,0.5119266055045871,218,0.36585365853658536,0.6192660550458715
DEEPSEEK,postfilter_llm,answer_relevance,0.2,0.825,300,0.7766666666666666,300,0.6524390243902439,82,0.823394495412844,218,0.6585365853658537,0.8256880733944955
DEEPSEEK,postfilter_llm,faithfulness,0.4,0.796,300,0.6116666666666667,300,0.39552238805970147,134,0.786144578313253,166,0.39552238805970147,0.7891566265060241
DEEPSEEK,postfilter_llm,context_relevance,0.4,0.558,300,0.40066666666666667,300,0.2007462686567164,134,0.5620481927710844,166,0.19402985074626866,0.6867469879518072
DEEPSEEK,postfilter_llm,answer_relevance,0.4,0.84,300,0.7533333333333333,300,0.5746268656716418,134,0.8975903614457831,166,0.5746268656716418,0.8975903614457831
DEEPSEEK,postfilter_llm,faithfulness,0.6,0.79,300,0.5016666666666667,300,0.35119047619047616,168,0.6931818181818182,132,0.35119047619047616,0.696969696969697
DEEPSEEK,postfilter_llm,context_relevance,0.6,0.5546666666666666,300,0.30333333333333334,300,0.1380952380952381,168,0.5136363636363637,132,0.10714285714285714,0.5833333333333334
