judge,noise_level,metric,fpr,fpr_ci_lower,fpr_ci_upper,clean_mean,poisoned_mean,mannwhitney_p,effect_size_rbc
deepseek-v3,0.1,answer_relevance,0.76,0.67,0.84,0.812,0.7700000000000001,0.6956412121949005,-0.02639999999999998
deepseek-v3,0.2,answer_relevance,0.74,0.66,0.82,0.8059999999999999,0.758,0.4231483506086733,-0.05449999999999999
deepseek-v3,0.3,answer_relevance,0.62,0.53,0.71,0.815,0.6509999999999999,0.03588881593085506,-0.14680000000000004
deepseek-v3,0.4,answer_relevance,0.61,0.52,0.7,0.8109999999999999,0.636,0.004253022581545324,-0.20320000000000005
deepseek-v3,0.5,answer_relevance,0.58,0.48,0.68,0.81,0.63,0.003873861445275008,-0.20690000000000008
deepseek-v3,0.6,answer_relevance,0.55,0.44,0.6402499999999998,0.81,0.588,0.00021323875675780988,-0.2710999999999999
deepseek-v3,0.7,answer_relevance,0.49,0.39,0.59,0.8130000000000002,0.545,2.608249337729696e-05,-0.30800000000000005
deepseek-v3,0.8,answer_relevance,0.4,0.31,0.49,0.8079999999999999,0.456,1.9250776043380527e-08,-0.4204000000000001
deepseek-v3,0.1,context_relevance,0.35,0.26,0.44,0.45800000000000013,0.41100000000000003,0.21393807705303458,-0.10040000000000004
deepseek-v3,0.2,context_relevance,0.3,0.21,0.39,0.445,0.37799999999999995,0.0779357569357358,-0.1423000000000001
deepseek-v3,0.3,context_relevance,0.19,0.11,0.28,0.451,0.31799999999999995,0.00019313455858543688,-0.3010999999999999
deepseek-v3,0.4,context_relevance,0.23,0.15,0.32,0.43700000000000006,0.32600000000000007,0.0020298298858232064,-0.2488999999999999
deepseek-v3,0.5,context_relevance,0.16,0.09,0.24,0.4370000000000001,0.28,6.4212166962336354e-06,-0.36460000000000004
deepseek-v3,0.6,context_relevance,0.1,0.04,0.16,0.446,0.23600000000000004,9.816700810129766e-09,-0.4624999999999999
deepseek-v3,0.7,context_relevance,0.1,0.05,0.16,0.44300000000000006,0.21900000000000006,3.700536581500376e-11,-0.5342
deepseek-v3,0.8,context_relevance,0.06,0.02,0.11,0.452,0.17600000000000002,3.5714059110340445e-15,-0.6356999999999999
deepseek-v3,0.1,faithfulness,0.74,0.65,0.82,0.786,0.723,0.24851052528307105,-0.08390000000000009
deepseek-v3,0.2,faithfulness,0.69,0.6,0.78,0.7880000000000001,0.669,0.029733066035650804,-0.15969999999999995
deepseek-v3,0.3,faithfulness,0.57,0.47,0.67,0.787,0.551,0.00015501248557644396,-0.2842
deepseek-v3,0.4,faithfulness,0.54,0.45,0.64,0.792,0.526,8.098938772246953e-06,-0.3368
deepseek-v3,0.5,faithfulness,0.53,0.43975000000000025,0.63,0.7859999999999999,0.504,6.41355295818939e-07,-0.38050000000000006
deepseek-v3,0.6,faithfulness,0.47,0.37,0.57,0.7869999999999999,0.452,4.288157053595488e-08,-0.41890000000000005
deepseek-v3,0.7,faithfulness,0.4,0.31,0.49,0.7880000000000001,0.38300000000000006,6.925271532375196e-11,-0.4978
deepseek-v3,0.8,faithfulness,0.32,0.2397500000000002,0.42,0.7859999999999999,0.306,1.7188903614711513e-14,-0.5864
gemma-4-26b,0.1,answer_relevance,0.91,0.85,0.96,0.958,0.935,0.4652502567923068,-0.03190000000000004
gemma-4-26b,0.2,answer_relevance,0.89,0.83,0.94,0.958,0.914,0.1685447171995218,-0.06370000000000009
gemma-4-26b,0.3,answer_relevance,0.79,0.71,0.87,0.958,0.8489999999999999,0.001126366121312229,-0.1766000000000001
gemma-4-26b,0.4,answer_relevance,0.74,0.65,0.82,0.958,0.8190000000000001,4.2059312474224736e-05,-0.23649999999999993
gemma-4-26b,0.5,answer_relevance,0.6565656565656566,0.5656565656565656,0.7376262626262624,0.9580000000000001,0.7565656565656567,5.557580775338306e-07,-0.30585858585858583
gemma-4-26b,0.6,answer_relevance,0.6565656565656566,0.5656565656565656,0.7474747474747475,0.958,0.7484848484848485,2.8585380027191325e-07,-0.31606060606060615
gemma-4-26b,0.7,answer_relevance,0.6,0.5,0.69,0.9580000000000001,0.721,3.4971376823707026e-08,-0.3455999999999999
gemma-4-26b,0.8,answer_relevance,0.56,0.46,0.65,0.9579999999999999,0.6800000000000002,9.734245493593111e-11,-0.42680000000000007
gemma-4-26b,0.1,context_relevance,0.93,0.88,0.98,0.9079999999999999,0.932,0.5291760367127836,0.03710000000000002
gemma-4-26b,0.2,context_relevance,0.91,0.84,0.96,0.9069999999999999,0.8975000000000002,0.4234951779289313,-0.05059999999999998
gemma-4-26b,0.3,context_relevance,0.85,0.78,0.92,0.9079999999999999,0.8714999999999999,0.05244385342877433,-0.12870000000000004
gemma-4-26b,0.4,context_relevance,0.87,0.79,0.93,0.9079999999999999,0.8639999999999999,0.05722046447829308,-0.12549999999999994
gemma-4-26b,0.5,context_relevance,0.8181818181818182,0.7373737373737373,0.8891414141414139,0.9080000000000001,0.8494949494949496,0.01293750196031202,-0.16828282828282837
gemma-4-26b,0.6,context_relevance,0.7878787878787878,0.7070707070707071,0.8585858585858586,0.9080000000000001,0.8282828282828283,0.002943744919116078,-0.20434343434343427
gemma-4-26b,0.7,context_relevance,0.79,0.7097500000000002,0.86,0.9079999999999999,0.8280000000000003,0.003283134720602833,-0.20120000000000005
gemma-4-26b,0.8,context_relevance,0.69,0.6,0.78,0.9079999999999999,0.7609999999999999,1.5856506091792193e-06,-0.3475999999999999
gemma-4-26b,0.1,faithfulness,0.88,0.82,0.94,0.9570000000000002,0.8859999999999999,0.13514181695994656,-0.07709999999999995
gemma-4-26b,0.2,faithfulness,0.83,0.75,0.9,0.9570000000000001,0.843,0.011349863319706638,-0.14040000000000008
gemma-4-26b,0.3,faithfulness,0.7,0.61,0.78,0.9570000000000002,0.7189999999999999,2.704383664310424e-06,-0.29390000000000005
gemma-4-26b,0.4,faithfulness,0.58,0.48,0.67,0.956,0.6335000000000001,2.9632658563628265e-09,-0.3932
gemma-4-26b,0.5,faithfulness,0.5656565656565656,0.47474747474747475,0.6565656565656566,0.9570000000000001,0.5924242424242424,3.126970441803015e-10,-0.4228282828282828
gemma-4-26b,0.6,faithfulness,0.5050505050505051,0.40404040404040403,0.5959595959595959,0.9570000000000001,0.5555555555555556,7.264333285384286e-11,-0.4392929292929293
gemma-4-26b,0.7,faithfulness,0.46,0.36,0.56,0.956,0.5015,3.94189804135057e-15,-0.5562
gemma-4-26b,0.8,faithfulness,0.37,0.28,0.46,0.9570000000000002,0.4159999999999999,6.910124334148666e-19,-0.6463000000000001
gpt-5.4-nano,0.1,answer_relevance,0.77,0.69,0.8402499999999997,0.8597999999999999,0.7585000000000001,0.30038010514163727,-0.07360000000000011
gpt-5.4-nano,0.2,answer_relevance,0.81,0.73,0.8802499999999998,0.8586,0.7961,0.24225662274352566,-0.0838000000000001
gpt-5.4-nano,0.3,answer_relevance,0.75,0.67,0.83,0.8406000000000001,0.7211,0.017403214420842538,-0.1782999999999999
gpt-5.4-nano,0.4,answer_relevance,0.73,0.63,0.81,0.8480000000000001,0.7188000000000001,0.09114168270629562,-0.12420000000000009
gpt-5.4-nano,0.5,answer_relevance,0.68,0.58,0.77,0.8699000000000001,0.6869,0.031794702881418016,-0.1563000000000001
gpt-5.4-nano,0.6,answer_relevance,0.63,0.54,0.73,0.8821000000000001,0.6328,0.0007886627581605834,-0.2506999999999999
gpt-5.4-nano,0.7,answer_relevance,0.65,0.55,0.74,0.8700000000000001,0.6393000000000001,1.3511712919930838e-05,-0.3206
gpt-5.4-nano,0.8,answer_relevance,0.6,0.51,0.69,0.8574,0.6009,0.0003000263440739991,-0.27449999999999997
gpt-5.4-nano,0.1,context_relevance,0.83,0.76,0.9,0.7125000000000001,0.7120000000000002,0.7182303334397773,0.029299999999999993
gpt-5.4-nano,0.2,context_relevance,0.8,0.72,0.87,0.718,0.672,0.18568330636891728,-0.1079000000000001
gpt-5.4-nano,0.3,context_relevance,0.68,0.59,0.77,0.7225,0.6117,0.003150924268682774,-0.24069999999999991
gpt-5.4-nano,0.4,context_relevance,0.69,0.58,0.77,0.7024999999999999,0.6273000000000002,0.07782049888421261,-0.14359999999999995
gpt-5.4-nano,0.5,context_relevance,0.58,0.48,0.67,0.7189999999999998,0.5742,0.0001793261392664885,-0.3057000000000001
gpt-5.4-nano,0.6,context_relevance,0.6,0.51,0.69,0.725,0.5761999999999999,0.001134712906250095,-0.2652000000000001
gpt-5.4-nano,0.7,context_relevance,0.61,0.5197500000000003,0.71,0.6995,0.5345,7.684691170365486e-05,-0.3217000000000001
gpt-5.4-nano,0.8,context_relevance,0.54,0.43,0.64,0.6980000000000001,0.502,5.615818984130293e-06,-0.3702000000000001
gpt-5.4-nano,0.1,faithfulness,0.69,0.61,0.78,0.7140000000000002,0.6285000000000001,0.08334926548311473,-0.1402000000000001
gpt-5.4-nano,0.2,faithfulness,0.64,0.5497500000000003,0.73,0.7130000000000001,0.6280000000000001,0.2431732399906812,-0.09440000000000004
gpt-5.4-nano,0.3,faithfulness,0.61,0.52,0.7,0.6913000000000001,0.5743,0.008455014110085316,-0.21320000000000006
gpt-5.4-nano,0.4,faithfulness,0.59,0.49,0.68,0.7240000000000001,0.5425000000000001,0.0008349573705623951,-0.26980000000000004
gpt-5.4-nano,0.5,faithfulness,0.51,0.41,0.61,0.7228,0.4771,4.3466274971284735e-05,-0.33129999999999993
gpt-5.4-nano,0.6,faithfulness,0.45,0.36,0.54,0.7095,0.4395000000000001,4.5277424124739195e-05,-0.3306
gpt-5.4-nano,0.7,faithfulness,0.4,0.31,0.5,0.7248,0.40299999999999997,9.126686383307891e-07,-0.3978999999999999
gpt-5.4-nano,0.8,faithfulness,0.34,0.25,0.43,0.6980000000000001,0.34900000000000003,5.02925019720655e-09,-0.4710000000000001
