judge,injection_type,metric,fpr_improvement
gpt-5.4-nano,adversarial_fact,faithfulness,-0.007499999999999951
gpt-5.4-nano,adversarial_fact,answer_relevance,0.007499999999999951
gpt-5.4-nano,adversarial_fact,context_relevance,0.03249999999999997
gpt-5.4-nano,poisonedrag_style,faithfulness,-0.15000000000000002
gpt-5.4-nano,poisonedrag_style,answer_relevance,-0.07999999999999996
gpt-5.4-nano,poisonedrag_style,context_relevance,0.07250000000000001
gpt-5.4-nano,random_noise,faithfulness,-0.020000000000000018
gpt-5.4-nano,random_noise,answer_relevance,-0.04249999999999998
gpt-5.4-nano,random_noise,context_relevance,-0.04500000000000004
deepseek-v3,adversarial_fact,faithfulness,-0.13499999999999995
deepseek-v3,adversarial_fact,answer_relevance,-0.022499999999999964
deepseek-v3,adversarial_fact,context_relevance,-0.1875
deepseek-v3,poisonedrag_style,faithfulness,-0.36250000000000004
deepseek-v3,poisonedrag_style,answer_relevance,-0.08750000000000002
deepseek-v3,poisonedrag_style,context_relevance,-0.10999999999999999
deepseek-v3,random_noise,faithfulness,-0.06
deepseek-v3,random_noise,answer_relevance,-0.022499999999999964
deepseek-v3,random_noise,context_relevance,-0.22999999999999998
gemma-4-26b,adversarial_fact,faithfulness,0.020000000000000018
gemma-4-26b,adversarial_fact,answer_relevance,0.0025000000000000577
gemma-4-26b,adversarial_fact,context_relevance,0.15000000000000002
gemma-4-26b,poisonedrag_style,faithfulness,-0.02023182957393488
gemma-4-26b,poisonedrag_style,answer_relevance,0.004899749373433626
gemma-4-26b,poisonedrag_style,context_relevance,0.03246867167919798
gemma-4-26b,random_noise,faithfulness,-0.01750000000000007
gemma-4-26b,random_noise,answer_relevance,0.03249999999999997
gemma-4-26b,random_noise,context_relevance,-0.05999999999999994
