variant,removed_signal,injection_type,precision,recall,f1
all_signals,none,adversarial_fact,0.5319,0.4936,0.512
all_signals,none,poisonedrag_style,0.263,0.3057,0.2828
all_signals,none,random_noise,0.3875,0.6327,0.4806
no_embedding,embedding,adversarial_fact,0.4839,0.5424,0.5115
no_embedding,embedding,poisonedrag_style,0.2609,0.3057,0.2815
no_embedding,embedding,random_noise,0.3692,0.6913,0.4813
no_entropy,perplexity,adversarial_fact,0.5319,0.4936,0.512
no_entropy,perplexity,poisonedrag_style,0.2637,0.3057,0.2832
no_entropy,perplexity,random_noise,0.3875,0.6327,0.4806
no_classifier,deberta,adversarial_fact,0.3258,0.4833,0.3892
no_classifier,deberta,poisonedrag_style,0.2197,0.4331,0.2915
no_classifier,deberta,random_noise,0.3827,0.6786,0.4894
no_crossencoder,crossencoder,adversarial_fact,0.5552,0.4781,0.5138
no_crossencoder,crossencoder,poisonedrag_style,0.263,0.3057,0.2828
no_crossencoder,crossencoder,random_noise,0.297,0.6403,0.4058
no_answer_span,answer_recall,adversarial_fact,0.5693,0.4859,0.5243
no_answer_span,answer_recall,poisonedrag_style,0.258,0.3089,0.2812
no_answer_span,answer_recall,random_noise,0.339,0.8622,0.4867
