judge,condition_a,condition_b,metric,category,chi2_uncorrected,chi2_bootstrap_mean,chi2_bootstrap_p2_5,chi2_bootstrap_p97_5,corrected_p_value,n_paired,n_base_questions
GPT,baseline,postfilter,faithfulness,True,8.1602,5.7481,0.1182,16.3439,0.239,576,96
GPT,baseline,postfilter,faithfulness,Survived,4.1925,3.2531,0.0091,10.2048,0.307,624,100
GPT,baseline,postfilter,faithfulness,All-poisoned,12.4682,8.7969,1.1171,20.2235,0.222,1200,100
GPT,baseline,postfilter_llm,faithfulness,True,0.4235,0.5804,0.0,2.9408,0.393,576,96
GPT,baseline,postfilter_llm,faithfulness,Survived,25.2246,15.9244,6.6482,26.6801,0.046,624,100
GPT,baseline,postfilter_llm,faithfulness,All-poisoned,12.1256,7.8159,1.6544,16.4452,0.131,1200,100
GEMINI,baseline,postfilter,faithfulness,True,10.9286,7.7809,0.106,21.821,0.259,576,96
GEMINI,baseline,postfilter,faithfulness,Survived,20.8172,13.6393,1.7609,29.8028,0.164,623,100
GEMINI,baseline,postfilter,faithfulness,All-poisoned,0.1088,1.3146,0.0,6.9933,0.745,1199,100
GEMINI,baseline,postfilter_llm,faithfulness,True,0.1875,0.6397,0.0,3.4483,0.5,575,96
GEMINI,baseline,postfilter_llm,faithfulness,Survived,0.0227,0.4203,0.0,2.45,0.826,622,100
GEMINI,baseline,postfilter_llm,faithfulness,All-poisoned,0.2717,0.5982,0.0,3.2518,0.486,1197,100
DEEPSEEK,baseline,postfilter,faithfulness,True,34.4045,22.4089,7.2621,41.8345,0.099,576,96
DEEPSEEK,baseline,postfilter,faithfulness,Survived,77.7316,49.699,29.6323,73.3708,0.012,624,100
DEEPSEEK,baseline,postfilter,faithfulness,All-poisoned,109.2772,69.2147,39.2837,101.2634,0.008,1200,100
DEEPSEEK,baseline,postfilter_llm,faithfulness,True,15.5741,9.8555,2.7,18.2731,0.089,576,96
DEEPSEEK,baseline,postfilter_llm,faithfulness,Survived,121.2994,76.2618,59.2067,93.4579,0.0,624,100
DEEPSEEK,baseline,postfilter_llm,faithfulness,All-poisoned,133.763,84.0543,65.7195,102.223,0.0,1200,100
