judge,condition,metric,injection_type,clean_mean,clean_n,standard_mean,standard_n,true_mean,true_n,survived_mean,survived_n,true_fpr,survived_fpr
GPT,baseline,faithfulness,adversarial_fact,0.7117249999999999,400,0.5192,400,0.4341319444444445,288,0.7379464285714284,112,0.4583333333333333,0.8214285714285714
GPT,baseline,context_relevance,adversarial_fact,0.74205,400,0.615375,400,0.5711805555555556,288,0.7290178571428572,112,0.6284722222222222,0.875
GPT,baseline,answer_relevance,adversarial_fact,0.8517999999999999,400,0.703175,400,0.6486458333333334,288,0.843392857142857,112,0.6597222222222222,0.8571428571428571
GPT,baseline,faithfulness,poisonedrag_style,0.7219749999999999,400,0.570125,400,,0,0.570125,400,,0.615
GPT,baseline,context_relevance,poisonedrag_style,0.723975,400,0.737125,400,,0,0.737125,400,,0.8975
GPT,baseline,answer_relevance,poisonedrag_style,0.8583,400,0.7721750000000001,400,,0,0.7721750000000001,400,,0.795
GPT,baseline,faithfulness,random_noise,0.713725,400,0.468025,400,0.3473263888888889,288,0.7783928571428571,112,0.3472222222222222,0.8571428571428571
GPT,baseline,context_relevance,random_noise,0.7349000000000001,400,0.519525,400,0.4448958333333333,288,0.7114285714285715,112,0.4652777777777778,0.8214285714285714
GPT,baseline,answer_relevance,random_noise,0.8419,400,0.658125,400,0.5757291666666666,288,0.87,112,0.5798611111111112,0.9017857142857143
GEMINI,baseline,faithfulness,adversarial_fact,0.956892230576441,399,0.63275,400,0.5055555555555554,288,0.9598214285714286,112,0.4791666666666667,0.9821428571428571
GEMINI,baseline,context_relevance,adversarial_fact,0.9092731829573933,399,0.86575,400,0.8494791666666667,288,0.9075892857142858,112,0.9201388888888888,0.9642857142857143
GEMINI,baseline,answer_relevance,adversarial_fact,0.9578947368421052,399,0.8105,400,0.7458333333333333,288,0.9767857142857144,112,0.7777777777777778,0.9910714285714286
GEMINI,baseline,faithfulness,poisonedrag_style,0.9570000000000001,400,0.8853383458646616,399,,0,0.8853383458646616,399,,0.9072681704260651
GEMINI,baseline,context_relevance,poisonedrag_style,0.9075,400,0.9532581453634086,399,,0,0.9532581453634086,399,,0.9874686716791979
GEMINI,baseline,answer_relevance,poisonedrag_style,0.958,400,0.944987468671679,399,,0,0.944987468671679,399,,0.9598997493734336
GEMINI,baseline,faithfulness,random_noise,0.9568922305764411,399,0.54125,400,0.37881944444444443,288,0.9589285714285715,112,0.4131944444444444,0.9732142857142857
GEMINI,baseline,context_relevance,random_noise,0.9075187969924813,399,0.61925,400,0.5406249999999999,288,0.8214285714285714,112,0.5659722222222222,0.9017857142857143
GEMINI,baseline,answer_relevance,random_noise,0.9578947368421052,399,0.84,400,0.7875000000000001,288,0.975,112,0.8229166666666666,0.9910714285714286
DEEPSEEK,baseline,faithfulness,adversarial_fact,0.7775,400,0.39575000000000005,400,0.2871527777777778,288,0.6749999999999999,112,0.2881944444444444,0.6785714285714286
DEEPSEEK,baseline,context_relevance,adversarial_fact,0.53125,400,0.24550000000000005,400,0.1684027777777778,288,0.44375000000000003,112,0.1388888888888889,0.5625
DEEPSEEK,baseline,answer_relevance,adversarial_fact,0.835,400,0.615,400,0.5381944444444444,288,0.8125,112,0.5381944444444444,0.8125
DEEPSEEK,baseline,faithfulness,poisonedrag_style,0.78,400,0.361,400,,0,0.361,400,,0.375
DEEPSEEK,baseline,context_relevance,poisonedrag_style,0.53175,400,0.50275,400,,0,0.50275,400,,0.53
DEEPSEEK,baseline,answer_relevance,poisonedrag_style,0.835,400,0.71875,400,,0,0.71875,400,,0.72
DEEPSEEK,baseline,faithfulness,random_noise,0.7825,400,0.465,400,0.3402777777777778,288,0.7857142857142857,112,0.3402777777777778,0.7857142857142857
DEEPSEEK,baseline,context_relevance,random_noise,0.5357500000000001,400,0.18575000000000003,400,0.10208333333333333,288,0.4008928571428571,112,0.0763888888888889,0.48214285714285715
DEEPSEEK,baseline,answer_relevance,random_noise,0.845,400,0.62,400,0.5381944444444444,288,0.8303571428571429,112,0.5381944444444444,0.8303571428571429
GPT,postfilter,faithfulness,adversarial_fact,0.7181000000000001,400,0.5239,400,0.4743402777777778,288,0.6513392857142856,112,0.5069444444444444,0.7232142857142857
GPT,postfilter,context_relevance,adversarial_fact,0.712175,400,0.5867749999999999,400,0.5566319444444444,288,0.6642857142857144,112,0.6145833333333334,0.7946428571428571
GPT,postfilter,answer_relevance,adversarial_fact,0.8567,400,0.69545,400,0.6568055555555555,288,0.7948214285714287,112,0.6701388888888888,0.8035714285714286
GPT,postfilter,faithfulness,poisonedrag_style,0.71265,400,0.7088500000000001,400,,0,0.7088500000000001,400,,0.765
GPT,postfilter,context_relevance,poisonedrag_style,0.724375,400,0.6985250000000001,400,,0,0.6985250000000001,400,,0.825
GPT,postfilter,answer_relevance,poisonedrag_style,0.83895,400,0.861425,400,,0,0.861425,400,,0.875
GPT,postfilter,faithfulness,random_noise,0.7047,400,0.4744,400,0.41277777777777774,288,0.6328571428571428,112,0.4444444444444444,0.6785714285714286
GPT,postfilter,context_relevance,random_noise,0.7260500000000001,400,0.5335500000000001,400,0.4914930555555556,288,0.6416964285714286,112,0.5486111111111112,0.7678571428571429
GPT,postfilter,answer_relevance,random_noise,0.84415,400,0.7002250000000001,400,0.6584722222222222,288,0.8075892857142858,112,0.6666666666666666,0.8303571428571429
