judge,injection_type,metric,clean_false_flag_rate
gpt-5.4-nano,adversarial_fact,faithfulness,0.22
gpt-5.4-nano,adversarial_fact,answer_relevance,0.135
gpt-5.4-nano,adversarial_fact,context_relevance,0.17
gpt-5.4-nano,poisonedrag_style,faithfulness,0.24
gpt-5.4-nano,poisonedrag_style,answer_relevance,0.14
gpt-5.4-nano,poisonedrag_style,context_relevance,0.16
gpt-5.4-nano,random_noise,faithfulness,0.2525
gpt-5.4-nano,random_noise,answer_relevance,0.145
gpt-5.4-nano,random_noise,context_relevance,0.1475
deepseek-v3,adversarial_fact,faithfulness,0.22
deepseek-v3,adversarial_fact,answer_relevance,0.165
deepseek-v3,adversarial_fact,context_relevance,0.3025
deepseek-v3,poisonedrag_style,faithfulness,0.2225
deepseek-v3,poisonedrag_style,answer_relevance,0.17
deepseek-v3,poisonedrag_style,context_relevance,0.3025
deepseek-v3,random_noise,faithfulness,0.22
deepseek-v3,random_noise,answer_relevance,0.17
deepseek-v3,random_noise,context_relevance,0.2975
gemma-4-26b,adversarial_fact,faithfulness,0.04
gemma-4-26b,adversarial_fact,answer_relevance,0.03
gemma-4-26b,adversarial_fact,context_relevance,0.1
gemma-4-26b,poisonedrag_style,faithfulness,0.04
gemma-4-26b,poisonedrag_style,answer_relevance,0.03
gemma-4-26b,poisonedrag_style,context_relevance,0.1
gemma-4-26b,random_noise,faithfulness,0.04
gemma-4-26b,random_noise,answer_relevance,0.03
gemma-4-26b,random_noise,context_relevance,0.1
