judge,noise_level,metric,fpr,fpr_ci_lower,fpr_ci_upper,clean_mean,poisoned_mean,mannwhitney_p,effect_size_rbc
deepseek-v3,0.1,answer_relevance,0.79,0.7,0.87,0.8140000000000001,0.8190000000000001,0.6637449507497466,0.02839999999999998
deepseek-v3,0.2,answer_relevance,0.77,0.68,0.85,0.809,0.7980000000000002,0.6086625160868756,0.03300000000000003
deepseek-v3,0.3,answer_relevance,0.76,0.68,0.84,0.8079999999999999,0.7980000000000002,0.9915699610829882,-0.0007999999999999119
deepseek-v3,0.4,answer_relevance,0.81,0.73,0.88,0.807,0.8300000000000002,0.6946086909341698,0.025499999999999967
deepseek-v3,0.5,answer_relevance,0.73,0.65,0.82,0.81,0.7670000000000001,0.44691355661384913,-0.05180000000000007
deepseek-v3,0.6,answer_relevance,0.79,0.71,0.86,0.8190000000000001,0.815,0.8184386391748193,-0.015300000000000091
deepseek-v3,0.7,answer_relevance,0.75,0.67,0.83,0.807,0.7859999999999999,0.6425138467066708,-0.031199999999999894
deepseek-v3,0.8,answer_relevance,0.78,0.7,0.86,0.815,0.8199999999999998,0.5899556567780192,0.03539999999999999
deepseek-v3,0.1,context_relevance,0.23,0.16,0.31,0.43800000000000006,0.3459999999999999,0.012568067681948063,-0.2007000000000001
deepseek-v3,0.2,context_relevance,0.25,0.17,0.33,0.439,0.32600000000000007,0.0008224433817923784,-0.2688999999999999
deepseek-v3,0.3,context_relevance,0.24,0.16,0.33,0.45400000000000007,0.33500000000000013,0.0005834915373771341,-0.27669999999999995
deepseek-v3,0.4,context_relevance,0.25,0.17,0.33,0.45400000000000007,0.33000000000000007,0.00020174831645570796,-0.29810000000000003
deepseek-v3,0.5,context_relevance,0.2,0.13,0.28,0.45,0.313,6.517797358087663e-05,-0.3218000000000001
deepseek-v3,0.6,context_relevance,0.2,0.13,0.28,0.44799999999999995,0.316,0.00014601179732813755,-0.3050999999999999
deepseek-v3,0.7,context_relevance,0.25,0.17,0.34,0.4409999999999999,0.3470000000000002,0.004017241737547981,-0.2307999999999999
deepseek-v3,0.8,context_relevance,0.21,0.13975000000000024,0.3,0.447,0.31699999999999995,7.653697766475166e-05,-0.3174999999999999
deepseek-v3,0.1,faithfulness,0.76,0.67,0.84,0.7880000000000001,0.7500000000000001,0.5897926219886201,-0.03849999999999998
deepseek-v3,0.2,faithfulness,0.77,0.68,0.85,0.7880000000000001,0.754,0.5905410223031838,-0.03839999999999999
deepseek-v3,0.3,faithfulness,0.75,0.67,0.83,0.789,0.733,0.27856128224441923,-0.07820000000000005
deepseek-v3,0.4,faithfulness,0.74,0.65,0.83,0.791,0.7210000000000001,0.16077718918818384,-0.10050000000000003
deepseek-v3,0.5,faithfulness,0.73,0.64,0.81,0.7880000000000001,0.7180000000000001,0.26148798738691903,-0.08109999999999995
deepseek-v3,0.6,faithfulness,0.76,0.67,0.83,0.7890000000000001,0.752,0.5474529559635473,-0.04279999999999995
deepseek-v3,0.7,faithfulness,0.75,0.67,0.83,0.7800000000000001,0.7390000000000001,0.2635367243901423,-0.08079999999999998
deepseek-v3,0.8,faithfulness,0.77,0.68,0.85,0.787,0.7560000000000001,0.6860578196237697,-0.028999999999999915
gemma-4-26b,0.1,answer_relevance,0.94,0.89,0.98,0.958,0.9495,0.9842916787051201,-0.0008999999999999009
gemma-4-26b,0.2,answer_relevance,0.95,0.9,0.99,0.9580000000000001,0.951,0.8195224406450683,-0.009600000000000053
gemma-4-26b,0.3,answer_relevance,0.93,0.88,0.98,0.958,0.9490000000000001,0.7713512275478424,-0.012199999999999989
gemma-4-26b,0.4,answer_relevance,0.95,0.9,0.99,0.958,0.955,0.8213884504621711,-0.009500000000000064
gemma-4-26b,0.5,answer_relevance,0.95,0.9,0.99,0.958,0.9570000000000001,1.0,0.0
gemma-4-26b,0.6,answer_relevance,0.92,0.87,0.97,0.958,0.9440000000000001,0.7787146194232237,-0.011800000000000033
gemma-4-26b,0.7,answer_relevance,0.94,0.89,0.98,0.958,0.951,0.8398554036869534,0.008099999999999996
gemma-4-26b,0.8,answer_relevance,0.93,0.88,0.98,0.9580000000000001,0.95,0.6438363572974977,-0.01980000000000004
gemma-4-26b,0.1,context_relevance,0.79,0.71,0.86,0.9069999999999999,0.82,0.0030135002606446,-0.20300000000000007
gemma-4-26b,0.2,context_relevance,0.85,0.78,0.91,0.9070000000000001,0.8425,0.0054727905095573355,-0.19009999999999994
gemma-4-26b,0.3,context_relevance,0.77,0.69,0.85,0.9069999999999999,0.8119999999999998,0.0006113394797628286,-0.2387999999999999
gemma-4-26b,0.4,context_relevance,0.82,0.75,0.89,0.9079999999999999,0.828,0.002548389943974778,-0.20750000000000002
gemma-4-26b,0.5,context_relevance,0.78,0.69,0.86,0.9080000000000001,0.796,0.00017347618906253263,-0.2639
