judge,noise_level,metric,fpr,fpr_ci_lower,fpr_ci_upper,clean_mean,poisoned_mean,mannwhitney_p,effect_size_rbc
deepseek-v3,0.2,answer_relevance,0.77,0.69,0.85,0.82,0.77,0.38329588572536766,-0.050000000000000044
deepseek-v3,0.4,answer_relevance,0.67,0.57,0.75,0.84,0.67,0.00533076719603678,-0.16999999999999993
deepseek-v3,0.6,answer_relevance,0.57,0.48,0.67,0.83,0.57,6.326072548731535e-05,-0.26
deepseek-v3,0.8,answer_relevance,0.45,0.35,0.55,0.85,0.45,3.3456343809197304e-09,-0.3999999999999999
deepseek-v3,0.2,context_relevance,0.48,0.39,0.58,0.5279999999999999,0.41,0.009730750845242688,-0.2045999999999999
deepseek-v3,0.4,context_relevance,0.33,0.24,0.43,0.5309999999999999,0.297,6.312555521345388e-08,-0.4294
deepseek-v3,0.6,context_relevance,0.15,0.09,0.22,0.5359999999999999,0.17299999999999996,2.5231776524866457e-16,-0.6520999999999999
deepseek-v3,0.8,context_relevance,0.07,0.03,0.12,0.53,0.102,1.6687226145883094e-22,-0.7702
deepseek-v3,0.2,faithfulness,0.63,0.54,0.72,0.78,0.63,0.020426362873336414,-0.1499999999999999
deepseek-v3,0.4,faithfulness,0.45,0.3497500000000002,0.54,0.78,0.44699999999999995,6.721308388140243e-07,-0.3455999999999999
deepseek-v3,0.6,faithfulness,0.34,0.25,0.43,0.77,0.33799999999999997,5.952057746183519e-10,-0.4377
deepseek-v3,0.8,faithfulness,0.17,0.1,0.24,0.78,0.168,3.1706507147168604e-18,-0.6177999999999999
gemma-4-26b,0.2,answer_relevance,0.91,0.85,0.96,0.9579999999999999,0.919,0.09647984647942726,-0.0795999999999999
gemma-4-26b,0.4,answer_relevance,0.74,0.66,0.82,0.9580000000000001,0.8190000000000001,6.800950217448459e-05,-0.2278
gemma-4-26b,0.6,answer_relevance,0.69,0.6,0.79,0.958,0.768,1.4341965661091127e-06,-0.29089999999999994
gemma-4-26b,0.8,answer_relevance,0.65,0.56,0.74,0.9575757575757575,0.7360000000000001,8.73853218785722e-09,-0.3695959595959597
gemma-4-26b,0.2,context_relevance,0.91,0.85,0.96,0.9080000000000001,0.9015000000000001,0.3169706630086494,-0.06410000000000005
gemma-4-26b,0.4,context_relevance,0.85,0.78,0.92,0.9079999999999999,0.8580000000000001,0.03185705263353344,-0.1432
gemma-4-26b,0.6,context_relevance,0.85,0.77,0.92,0.9080000000000001,0.861,0.020363867859785372,-0.1564000000000001
gemma-4-26b,0.8,context_relevance,0.83,0.75,0.9,0.9131313131313132,0.8425,0.003209975979149073,-0.20151515151515142
gemma-4-26b,0.2,faithfulness,0.8,0.7297500000000002,0.88,0.9569999999999999,0.825,0.0037179068010336487,-0.1642999999999999
gemma-4-26b,0.4,faithfulness,0.68,0.59,0.77,0.9570000000000002,0.703,1.0772372438131054e-06,-0.3076000000000001
gemma-4-26b,0.6,faithfulness,0.48,0.39,0.5802499999999997,0.9570000000000002,0.5359999999999999,3.9532427871629466e-13,-0.5047999999999999
gemma-4-26b,0.8,faithfulness,0.4,0.31,0.49,0.9565656565656564,0.467,9.840964532441372e-16,-0.573030303030303
gpt-5.4-nano,0.2,answer_relevance,0.82,0.74,0.89,0.8449,0.8083000000000001,0.6971531851463919,-0.029099999999999904
gpt-5.4-nano,0.4,answer_relevance,0.72,0.63,0.81,0.8739999999999999,0.7082999999999999,0.0006243033942500995,-0.24639999999999995
gpt-5.4-nano,0.6,answer_relevance,0.71,0.61,0.8,0.8588,0.7012,0.004186730191498893,-0.20910000000000006
gpt-5.4-nano,0.8,answer_relevance,0.59,0.5,0.68,0.8295000000000001,0.5949,5.591194028254691e-05,-0.3044
gpt-5.4-nano,0.2,context_relevance,0.81,0.74,0.88,0.7387,0.6874999999999999,0.14214194543798978,-0.11949999999999994
gpt-5.4-nano,0.4,context_relevance,0.78,0.6997500000000002,0.86,0.742,0.6739999999999999,0.08336541745413745,-0.14050000000000007
gpt-5.4-nano,0.6,context_relevance,0.62,0.52,0.71,0.7440000000000001,0.5674999999999999,3.502610090474346e-05,-0.33719999999999994
gpt-5.4-nano,0.8,context_relevance,0.54,0.44,0.65,0.7435,0.5325000000000001,1.7845272541626271e-06,-0.38959999999999995
gpt-5.4-nano,0.2,faithfulness,0.73,0.65,0.81,0.6938000000000001,0.6688000000000001,0.8880342860181298,-0.011500000000000066
gpt-5.4-nano,0.4,faithfulness,0.62,0.53,0.71,0.7160000000000001,0.5785000000000001,0.0033840673683589576,-0.2371000000000001
gpt-5.4-nano,0.6,faithfulness,0.46,0.37,0.56,0.7433,0.45350000000000007,4.324463217114923e-06,-0.3708
gpt-5.4-nano,0.8,faithfulness,0.39,0.3,0.49,0.6938,0.3760000000000001,2.7158535149619558e-08,-0.44819999999999993
