triplet_id,condition,judge,injection_type,noise_level,is_poisoned,support_killed,category,faithfulness,context_relevance,answer_relevance
5a73977d554299623ed4ac08_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.85,0.9,1.0
5ac2660d55429951e9e685a1_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,1.0,0.6,1.0
5a7a567255429941d65f25bd_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,0.9,0.6,1.0
5abd516a5542992ac4f3825c_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,0.0,0.4,0.0
5adf03b35542993a75d263d3_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.95,0.85,0.9
5add2b435542990d50227e11_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,1.0,0.9,1.0
5ae0536755429924de1b70a6_clean_adversarial_fact_0.6,baseline,GPT,adversarial_fact,0.6,False,False,Clean,1.0,0.7,1.0
5a75eda35542994ccc918661_af_0.2,baseline,GPT,adversarial_fact,0.2,True,False,Survived,0.9,0.7,1.0
5adc99cf554299438c868e0d_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.0,0.6,1.0
5a89a74e554299669944a562_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,1.0,0.9,1.0
5adfec5f55429942ec259b8d_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,0.65,0.7,0.95
5a89b1de5542992e4fca8378_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.0,0.0,0.0
5a81cb2c5542990a1d231ec4_clean_adversarial_fact_0.2,baseline,GPT,adversarial_fact,0.2,False,False,Clean,0.95,0.85,0.95
5ac257fe55429951e9e68562_clean_adversarial_fact_0.2,baseline,GPT,adversarial_fact,0.2,False,False,Clean,0.95,0.7,0.65
5a8aa5835542996c9b8d5f4e_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,1.0,1.0,1.0
5a8778d25542994846c1cd89_af_0.2,baseline,GPT,adversarial_fact,0.2,True,True,True,0.2,0.9,0.7
5ae762835542997b22f6a711_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.1,0.3,0.2
5a76394c5542994ccc918725_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,0.0,0.1,1.0
5adeab4555429975fa854f5f_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.95,0.2,1.0
5adcf37e5542994ed6169c37_rn_0.2,baseline,GPT,random_noise,0.2,True,True,True,0.1,0.4,0.0
5ac4c16b5542997ea680cab4_af_0.2,baseline,GPT,adversarial_fact,0.2,True,False,Survived,1.0,1.0,1.0
5a77897f55429949eeb29edc_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,1.0,1.0,1.0
5adeab4555429975fa854f5f_af_0.2,baseline,GPT,adversarial_fact,0.2,True,False,Survived,0.95,0.95,0.95
5a89a74e554299669944a562_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.0,0.6,0.0
5adf1c3f5542993a75d263ec_af_0.2,baseline,GPT,adversarial_fact,0.2,True,True,True,0.6,0.55,1.0
5add2b435542990d50227e11_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,0.95,0.7,0.95
5adf430e5542993a75d2645e_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,0.95,0.9,1.0
5ae531ee5542990ba0bbb1ff_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,0.55,0.6,1.0
5ae0132d55429925eb1afc00_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.95,1.0,1.0
5a810d7655429903bc27b915_rn_0.4,baseline,GPT,random_noise,0.4,True,True,True,0.3,0.2,1.0
5a738fe855429908901be2fb_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.0,0.15,0.0
5ab3bacc55429969a97a8197_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,1.0,0.55,1.0
5abca1a55542993a06baf937_pr_0.6,baseline,GPT,poisonedrag_style,0.6,True,False,Survived,0.0,0.9,1.0
5abacac45542996cc5e49e94_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,0.95,0.85,0.9
5a88d6df554299206df2b377_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,0.7,0.6,0.9
5ac39f7b554299218029dbe7_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,0.0,0.2,0.0
5adf1c3f5542993a75d263ec_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.2,0.6,1.0
5a81018755429938b6142287_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.9,0.7,1.0
5ae0536755429924de1b70a6_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,0.95,0.7,1.0
5ae200655542994d89d5b2f4_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.0,0.7,0.0
5a7f244255429934daa2fcec_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,0.55,0.75,1.0
5adc99cf554299438c868e0d_rn_0.4,baseline,GPT,random_noise,0.4,True,False,Survived,0.0,0.7,0.0
5ab3c18b55429969a97a81b0_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,1.0,1.0,1.0
5ae7b271554299540e5a564d_rn_0.2,baseline,GPT,random_noise,0.2,True,False,Survived,0.95,0.85,1.0
5ab29caa554299545a2cf9d3_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.0,0.6,0.0
5ab6a3a3554299710c8d1f0d_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.1,0.7,1.0
5a810d7655429903bc27b915_pr_0.6,baseline,GPT,poisonedrag_style,0.6,True,False,Survived,0.55,0.75,1.0
5ae531ee5542990ba0bbb1ff_clean_adversarial_fact_0.6,baseline,GPT,adversarial_fact,0.6,False,False,Clean,0.95,0.9,0.8
