judge,injection_type,metric,pearson_r,pearson_p,spearman_r,spearman_p,n_noise_levels
deepseek-v3,adversarial_fact,answer_relevance,-0.9989337121545471,0.00106628784545304,-1.0,0.0,4
deepseek-v3,adversarial_fact,context_relevance,-0.9897478905852541,0.010252109414745858,-1.0,0.0,4
deepseek-v3,adversarial_fact,faithfulness,-0.9961041429926647,0.0038958570073353016,-1.0,0.0,4
deepseek-v3,poisonedrag_style,answer_relevance,-0.30263639081698096,0.6973636091830191,-0.19999999999999998,0.8,4
deepseek-v3,poisonedrag_style,context_relevance,-0.8770580193070291,0.1229419806929708,-0.7999999999999999,0.20000000000000007,4
deepseek-v3,poisonedrag_style,faithfulness,-0.9868703275903379,0.013129672409662119,-1.0,0.0,4
deepseek-v3,random_noise,answer_relevance,-0.9999999999999999,0.0,-1.0,0.0,4
deepseek-v3,random_noise,context_relevance,-0.956067560428088,0.04393243957191206,-1.0,0.0,4
deepseek-v3,random_noise,faithfulness,-0.995785108762236,0.0042148912377639736,-1.0,0.0,4
gemma-4-26b,adversarial_fact,answer_relevance,-0.9364939966325653,0.06350600336743462,-1.0,0.0,4
gemma-4-26b,adversarial_fact,context_relevance,-0.894427190999916,0.10557280900008403,-0.9486832980505139,0.05131670194948612,4
gemma-4-26b,adversarial_fact,faithfulness,-0.9879755146408642,0.012024485359135806,-1.0,0.0,4
gemma-4-26b,poisonedrag_style,answer_relevance,-0.33291940938985637,0.6670805906101436,-0.6000000000000001,0.3999999999999999,4
gemma-4-26b,poisonedrag_style,context_relevance,0.9326733179802504,0.06732668201974956,1.0,0.0,4
gemma-4-26b,poisonedrag_style,faithfulness,-0.2362577787044744,0.7637422212955256,-0.39999999999999997,0.6,4
gemma-4-26b,random_noise,answer_relevance,-0.7521804311928879,0.2478195688071121,-0.632455532033676,0.367544467966324,4
gemma-4-26b,random_noise,context_relevance,-0.9681833853780368,0.03181661462196317,-1.0,0.0,4
gemma-4-26b,random_noise,faithfulness,-0.9922778767136677,0.007722123286332261,-1.0,0.0,4
gpt-5.4-nano,adversarial_fact,answer_relevance,-0.9597148699373932,0.04028513006260681,-1.0,0.0,4
gpt-5.4-nano,adversarial_fact,context_relevance,-0.9712147781842122,0.028785221815787798,-1.0,0.0,4
gpt-5.4-nano,adversarial_fact,faithfulness,-0.990234002790093,0.009765997209906896,-1.0,0.0,4
gpt-5.4-nano,poisonedrag_style,answer_relevance,-0.8140915784106946,0.18590842158930543,-0.7378647873726218,0.2621352126273781,4
gpt-5.4-nano,poisonedrag_style,context_relevance,-0.6255432421712245,0.37445675782877563,-0.39999999999999997,0.6,4
gpt-5.4-nano,poisonedrag_style,faithfulness,-0.562039011517252,0.437960988482748,-0.316227766016838,0.683772233983162,4
gpt-5.4-nano,random_noise,answer_relevance,-0.9840204040931118,0.015979595906888244,-1.0,0.0,4
gpt-5.4-nano,random_noise,context_relevance,-0.9718771624895015,0.02812283751049849,-1.0,0.0,4
gpt-5.4-nano,random_noise,faithfulness,-0.9982269489598851,0.0017730510401148258,-1.0,0.0,4
