judge,injection_type,noise_level,cr_fpr,faithfulness_fpr,cr_fpr_vs_faith_fpr,cr_poisoned_mean,cr_clean_mean,n_poisoned
deepseek-v3,adversarial_fact,0.2,0.48,0.63,-0.15,0.41,0.528,100
deepseek-v3,adversarial_fact,0.4,0.33,0.45,-0.12,0.297,0.531,100
deepseek-v3,adversarial_fact,0.6,0.15,0.34,-0.19,0.173,0.536,100
deepseek-v3,adversarial_fact,0.8,0.07,0.17,-0.1,0.102,0.53,100
deepseek-v3,poisonedrag_style,0.2,0.55,0.46,0.09,0.495,0.534,100
deepseek-v3,poisonedrag_style,0.4,0.56,0.41,0.15,0.519,0.543,100
deepseek-v3,poisonedrag_style,0.6,0.51,0.33,0.18,0.496,0.535,100
deepseek-v3,poisonedrag_style,0.8,0.5,0.3,0.2,0.501,0.515,100
deepseek-v3,random_noise,0.2,0.46,0.7,-0.24,0.379,0.539,100
deepseek-v3,random_noise,0.4,0.21,0.52,-0.31,0.207,0.531,100
deepseek-v3,random_noise,0.6,0.07,0.41,-0.34,0.108,0.533,100
deepseek-v3,random_noise,0.8,0.02,0.23,-0.21,0.049,0.54,100
gemma-4-26b,adversarial_fact,0.2,0.97,0.83,0.14,0.9015,0.908,100
gemma-4-26b,adversarial_fact,0.4,0.93,0.7,0.23,0.858,0.908,100
gemma-4-26b,adversarial_fact,0.6,0.94,0.52,0.42,0.861,0.908,100
gemma-4-26b,adversarial_fact,0.8,0.89,0.43,0.46,0.8425,0.9131,100
gemma-4-26b,poisonedrag_style,0.2,0.99,0.92,0.07,0.9445,0.907,100
gemma-4-26b,poisonedrag_style,0.4,0.97,0.9,0.07,0.944,0.907,100
gemma-4-26b,poisonedrag_style,0.6,0.99,0.92,0.07,0.968,0.908,100
gemma-4-26b,poisonedrag_style,0.8,1.0,0.8889,0.1111,0.9566,0.908,99
gemma-4-26b,random_noise,0.2,0.84,0.8,0.04,0.765,0.9071,100
gemma-4-26b,random_noise,0.4,0.78,0.64,0.14,0.696,0.908,100
gemma-4-26b,random_noise,0.6,0.63,0.49,0.14,0.601,0.908,100
gemma-4-26b,random_noise,0.8,0.39,0.35,0.04,0.415,0.907,100
gpt-5.4-nano,adversarial_fact,0.2,0.81,0.74,0.07,0.6875,0.7387,100
gpt-5.4-nano,adversarial_fact,0.4,0.79,0.63,0.16,0.674,0.742,100
gpt-5.4-nano,adversarial_fact,0.6,0.65,0.47,0.18,0.5675,0.744,100
gpt-5.4-nano,adversarial_fact,0.8,0.54,0.4,0.14,0.5325,0.7435,100
gpt-5.4-nano,poisonedrag_style,0.2,0.94,0.65,0.29,0.7465,0.7197,100
gpt-5.4-nano,poisonedrag_style,0.4,0.88,0.58,0.3,0.7315,0.7155,100
gpt-5.4-nano,poisonedrag_style,0.6,0.91,0.61,0.3,0.7365,0.7197,100
gpt-5.4-nano,poisonedrag_style,0.8,0.86,0.62,0.24,0.734,0.741,100
gpt-5.4-nano,random_noise,0.2,0.82,0.71,0.11,0.691,0.7303,100
gpt-5.4-nano,random_noise,0.4,0.6,0.58,0.02,0.5784,0.7195,100
gpt-5.4-nano,random_noise,0.6,0.46,0.42,0.04,0.4425,0.7698,100
gpt-5.4-nano,random_noise,0.8,0.38,0.25,0.13,0.3662,0.72,100
