judge,noise_level,metric,fpr,fpr_ci_lower,fpr_ci_upper,clean_mean,poisoned_mean,mannwhitney_p,effect_size_rbc
deepseek-v3,0.2,answer_relevance,0.71,0.62,0.79,0.84,0.715,0.030343728464821747,-0.12840000000000007
deepseek-v3,0.4,answer_relevance,0.73,0.64,0.81,0.83,0.73,0.08894366720661297,-0.10000000000000009
deepseek-v3,0.6,answer_relevance,0.75,0.66,0.84,0.83,0.75,0.16647162228737988,-0.08000000000000007
deepseek-v3,0.8,answer_relevance,0.68,0.59,0.77,0.84,0.68,0.008271486682434211,-0.15999999999999992
deepseek-v3,0.2,context_relevance,0.55,0.45975000000000027,0.64,0.534,0.495,0.4689547092113874,-0.057800000000000074
deepseek-v3,0.4,context_relevance,0.56,0.47,0.66,0.5430000000000001,0.519,0.8779834329478498,-0.012399999999999967
deepseek-v3,0.6,context_relevance,0.51,0.41,0.61,0.535,0.4960000000000001,0.8335421365169862,-0.016999999999999904
deepseek-v3,0.8,context_relevance,0.5,0.4,0.59,0.515,0.5009999999999999,0.756973891067353,0.025000000000000022
deepseek-v3,0.2,faithfulness,0.46,0.37,0.55,0.79,0.447,1.6151647932740904e-08,-0.4011
deepseek-v3,0.4,faithfulness,0.41,0.32,0.51,0.78,0.39799999999999996,1.893408446353619e-10,-0.46140000000000003
deepseek-v3,0.6,faithfulness,0.33,0.24,0.42,0.78,0.316,4.8373310191775966e-15,-0.5782
deepseek-v3,0.8,faithfulness,0.3,0.21,0.39,0.77,0.283,1.3864756257358323e-15,-0.5854999999999999
gemma-4-26b,0.2,answer_relevance,0.93,0.88,0.97,0.958,0.945,0.6404745197308843,-0.020000000000000018
gemma-4-26b,0.4,answer_relevance,0.95,0.9,0.99,0.958,0.9505000000000001,0.3864935379542226,-0.03859999999999997
gemma-4-26b,0.6,answer_relevance,0.91,0.85,0.96,0.9580000000000001,0.9380000000000002,0.35639234185247515,-0.041099999999999914
gemma-4-26b,0.8,answer_relevance,0.9292929292929293,0.8787878787878788,0.9696969696969697,0.9580000000000001,0.9464646464646465,0.7738734041806881,-0.0121212121212122
gemma-4-26b,0.2,context_relevance,0.94,0.89,0.98,0.907,0.9445,0.7091175437449113,0.022599999999999953
gemma-4-26b,0.4,context_relevance,0.95,0.9,0.99,0.907,0.9440000000000001,0.2994273590933749,0.06000000000000005
gemma-4-26b,0.6,context_relevance,0.96,0.92,0.99,0.9079999999999999,0.968,0.006402370822009729,0.14249999999999996
gemma-4-26b,0.8,context_relevance,1.0,1.0,1.0,0.9079999999999999,0.9565656565656567,0.19667544573510487,0.07424242424242422
gemma-4-26b,0.2,faithfulness,0.86,0.79,0.92,0.9570000000000001,0.8859999999999999,0.021414240850340667,-0.1262000000000001
gemma-4-26b,0.4,faithfulness,0.9,0.84,0.96,0.9570000000000001,0.8955000000000001,0.05122257226275509,-0.10450000000000004
gemma-4-26b,0.6,faithfulness,0.89,0.82,0.95,0.9570000000000001,0.8915000000000001,0.03276106859125356,-0.1157999999999999
gemma-4-26b,0.8,faithfulness,0.8484848484848485,0.7777777777777778,0.9191919191919192,0.9570000000000001,0.8681818181818182,0.026735462473244605,-0.12070707070707076
gpt-5.4-nano,0.2,answer_relevance,0.81,0.73,0.8802499999999998,0.8590000000000001,0.7932000000000001,0.03348964081696164,-0.15539999999999998
gpt-5.4-nano,0.4,answer_relevance,0.81,0.73,0.88,0.867,0.7967000000000002,0.022464523522166217,-0.16579999999999995
gpt-5.4-nano,0.6,answer_relevance,0.77,0.68,0.85,0.8296000000000001,0.7515,0.20043028842424349,-0.0939000000000001
gpt-5.4-nano,0.8,answer_relevance,0.78,0.7,0.86,0.8776,0.7472999999999999,0.011333688378821878,-0.1846000000000001
gpt-5.4-nano,0.2,context_relevance,0.92,0.86,0.97,0.7196999999999999,0.7464999999999999,0.6292197619034507,0.0393
gpt-5.4-nano,0.4,context_relevance,0.85,0.78,0.9102499999999998,0.7155000000000001,0.7314999999999999,0.9215591768495894,0.008099999999999996
gpt-5.4-nano,0.6,context_relevance,0.88,0.82,0.94,0.7197,0.7365,0.9146656516311226,0.00880000000000003
gpt-5.4-nano,0.8,context_relevance,0.86,0.79,0.92,0.741,0.7340000000000002,0.8796137932212772,-0.012399999999999967
gpt-5.4-nano,0.2,faithfulness,0.65,0.56,0.7402499999999997,0.7203000000000002,0.5935000000000001,0.0007677641553420646,-0.2734000000000001
gpt-5.4-nano,0.4,faithfulness,0.58,0.49,0.6702499999999998,0.7358000000000001,0.5405000000000001,4.866464057272536e-06,-0.37139999999999995
gpt-5.4-nano,0.6,faithfulness,0.6,0.5,0.69,0.6743000000000001,0.58,0.017903174316797592,-0.19280000000000008
gpt-5.4-nano,0.8,faithfulness,0.6,0.49,0.69,0.7575,0.5665,4.890885855027163e-06,-0.3708
