judge,injection_type,metric,fpr_before,fpr_after,abs_reduction,rel_improvement_pct,wilcoxon_p
deepseek-v3,adversarial_fact,faithfulness,0.5325,0.555,-0.022500000000000075,-4.225352112676071,0.00695316050517935
deepseek-v3,adversarial_fact,answer_relevance,0.59375,0.57125,0.022499999999999964,3.7894736842105203,0.3453264130188539
deepseek-v3,adversarial_fact,context_relevance,0.18625,0.275,-0.08875000000000002,-47.65100671140941,4.2170088689384614e-18
deepseek-v3,random_noise,faithfulness,0.5375,0.5575,-0.020000000000000018,-3.720930232558143,0.06322528052844939
deepseek-v3,random_noise,answer_relevance,0.57,0.57875,-0.008750000000000036,-1.535087719298252,2.3024389636445147e-05
deepseek-v3,random_noise,context_relevance,0.14625,0.24375,-0.0975,-66.66666666666667,5.710196088045175e-26
deepseek-v3,poisonedrag_style,faithfulness,0.75375,0.78625,-0.03249999999999997,-4.311774461028189,0.005801520125589387
deepseek-v3,poisonedrag_style,answer_relevance,0.7725,0.79,-0.01750000000000007,-2.2653721682847987,0.7078567922949017
deepseek-v3,poisonedrag_style,context_relevance,0.22875,0.39875,-0.16999999999999998,-74.31693989071037,2.9671499977283915e-29
gpt-5.4-nano,adversarial_fact,faithfulness,0.52875,0.53125,-0.0024999999999999467,-0.47281323877067544,0.00695316050517935
gpt-5.4-nano,adversarial_fact,answer_relevance,0.7025,0.7375,-0.03500000000000003,-4.982206405693955,0.3453264130188539
gpt-5.4-nano,adversarial_fact,context_relevance,0.66625,0.64625,0.020000000000000018,3.001876172607883,4.2170088689384614e-18
gpt-5.4-nano,random_noise,faithfulness,0.52875,0.53375,-0.004999999999999893,-0.9456264775413509,0.06322528052844939
gpt-5.4-nano,random_noise,answer_relevance,0.70375,0.72,-0.016249999999999987,-2.3090586145648295,2.3024389636445147e-05
gpt-5.4-nano,random_noise,context_relevance,0.6025,0.65875,-0.05624999999999991,-9.336099585062225,5.710196088045175e-26
gpt-5.4-nano,poisonedrag_style,faithfulness,0.69375,0.7775,-0.08374999999999999,-12.072072072072071,0.005801520125589387
gpt-5.4-nano,poisonedrag_style,answer_relevance,0.81625,0.86375,-0.04749999999999999,-5.81929555895865,0.7078567922949017
gpt-5.4-nano,poisonedrag_style,context_relevance,0.7475,0.84,-0.09249999999999992,-12.374581939799318,2.9671499977283915e-29
gemma-4-26b,adversarial_fact,faithfulness,0.6115288220551378,0.575,0.036528822055137855,5.973360655737707,0.005137413879487449
gemma-4-26b,adversarial_fact,answer_relevance,0.7255639097744361,0.77375,-0.04818609022556397,-6.641191709844568,0.3080366914421706
gemma-4-26b,adversarial_fact,context_relevance,0.8308270676691729,0.68875,0.14207706766917294,17.10067873303168,3.900539146266694e-18
gemma-4-26b,random_noise,faithfulness,0.5494367959949937,0.55875,-0.009313204005006237,-1.6950455580865567,0.06322528052844939
gemma-4-26b,random_noise,answer_relevance,0.785982478097622,0.77875,0.007232478097621953,0.9201831210190988,2.3024389636445147e-05
gemma-4-26b,random_noise,context_relevance,0.5644555694618273,0.6575,-0.09304443053817268,-16.483924611973386,5.710196088045175e-26
gemma-4-26b,poisonedrag_style,faithfulness,0.93,0.9325,-0.0024999999999999467,-0.26881720430106953,0.005801520125589387
gemma-4-26b,poisonedrag_style,answer_relevance,0.93875,0.94625,-0.007500000000000062,-0.7989347536617909,0.7078567922949017
gemma-4-26b,poisonedrag_style,context_relevance,0.79125,0.88625,-0.09499999999999997,-12.006319115323851,2.9671499977283915e-29
