judge,injection_type,metric,clean_false_flag_rate
deepseek-v3,adversarial_fact,faithfulness,0.1975
deepseek-v3,adversarial_fact,answer_relevance,0.19375
deepseek-v3,adversarial_fact,context_relevance,0.585
deepseek-v3,random_noise,faithfulness,0.19875
deepseek-v3,random_noise,answer_relevance,0.19
deepseek-v3,random_noise,context_relevance,0.605
deepseek-v3,poisonedrag_style,faithfulness,0.19625
deepseek-v3,poisonedrag_style,answer_relevance,0.19
deepseek-v3,poisonedrag_style,context_relevance,0.59875
gpt-5.4-nano,adversarial_fact,faithfulness,0.22125
gpt-5.4-nano,adversarial_fact,answer_relevance,0.1175
gpt-5.4-nano,adversarial_fact,context_relevance,0.1625
gpt-5.4-nano,random_noise,faithfulness,0.22875
gpt-5.4-nano,random_noise,answer_relevance,0.12375
gpt-5.4-nano,random_noise,context_relevance,0.13875
gpt-5.4-nano,poisonedrag_style,faithfulness,0.22125
gpt-5.4-nano,poisonedrag_style,answer_relevance,0.125
gpt-5.4-nano,poisonedrag_style,context_relevance,0.1475
gemma-4-26b,adversarial_fact,faithfulness,0.04
gemma-4-26b,adversarial_fact,answer_relevance,0.03
gemma-4-26b,adversarial_fact,context_relevance,0.11
gemma-4-26b,random_noise,faithfulness,0.04
gemma-4-26b,random_noise,answer_relevance,0.03
gemma-4-26b,random_noise,context_relevance,0.11
gemma-4-26b,poisonedrag_style,faithfulness,0.04
gemma-4-26b,poisonedrag_style,answer_relevance,0.03
gemma-4-26b,poisonedrag_style,context_relevance,0.11
