triplet_id,filter_type,injection_type,noise_level,is_originally_poisoned,n_passages_original,n_passages_poisoned_original,n_passages_supporting_original,n_passages_after_filter,n_passages_poisoned_after_filter,n_passages_supporting_after_filter,n_passages_removed_total,n_passages_removed_poisoned_correctly,n_passages_removed_supporting_collateral,n_passages_removed_distractor,support_killed_originally,support_killed_after_filter,mistral_flagged_triplet
5a7a567255429941d65f25bd_rn_0.2,statistical,random_noise,0.2,True,10,2,2,8,2,2,2,0,0,2,True,True,
5a7a567255429941d65f25bd_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,True,True,True
5a7a567255429941d65f25bd_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,
5a7a567255429941d65f25bd_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,True
5abca1a55542993a06baf937_rn_0.2,statistical,random_noise,0.2,True,10,2,2,8,1,2,2,1,0,1,False,False,
5abca1a55542993a06baf937_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,False,False,False
5abca1a55542993a06baf937_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,
5abca1a55542993a06baf937_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,False
5a73977d554299623ed4ac08_rn_0.2,statistical,random_noise,0.2,True,10,2,2,6,1,1,4,1,1,2,False,False,
5a73977d554299623ed4ac08_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,False,False,False
5a73977d554299623ed4ac08_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,8,0,2,2,0,0,2,False,False,
5a73977d554299623ed4ac08_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,False
5ab514c05542991779162d72_rn_0.2,statistical,random_noise,0.2,True,10,2,2,8,2,2,2,0,0,2,True,True,
5ab514c05542991779162d72_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,True,True,False
5ab514c05542991779162d72_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,
5ab514c05542991779162d72_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,False
5add2b435542990d50227e11_rn_0.2,statistical,random_noise,0.2,True,10,2,2,8,1,2,2,1,0,1,False,False,
5add2b435542990d50227e11_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,False,False,False
5add2b435542990d50227e11_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,
5add2b435542990d50227e11_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,False
5a88d6df554299206df2b377_rn_0.2,statistical,random_noise,0.2,True,10,2,2,8,2,1,2,0,1,1,False,False,
5a88d6df554299206df2b377_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,False,False,False
5a88d6df554299206df2b377_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,
5a88d6df554299206df2b377_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,False
5ae6b6065542991bbc976168_rn_0.2,statistical,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,False,False,
5ae6b6065542991bbc976168_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,False,False,True
5ae6b6065542991bbc976168_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,
5ae6b6065542991bbc976168_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,True
5ae531ee5542990ba0bbb1ff_rn_0.2,statistical,random_noise,0.2,True,10,2,2,8,1,1,2,1,1,0,False,False,
5ae531ee5542990ba0bbb1ff_rn_0.2,llm,random_noise,0.2,True,10,2,2,10,2,2,0,0,0,0,False,False,False
5ae531ee5542990ba0bbb1ff_clean_random_noise_0.2,statistical,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,
5ae531ee5542990ba0bbb1ff_clean_random_noise_0.2,llm,random_noise,0.2,False,10,0,2,10,0,2,0,0,0,0,False,False,False
