judge,condition_a,condition_b,metric,category,n_paired,n10,n01,chi2,p_value
GPT,baseline,postfilter,faithfulness,True,576,82,124,8.160194174757281,0.004281978658648074
GPT,baseline,postfilter,faithfulness,Survived,624,79,108,4.192513368983957,0.040602858736368
GPT,baseline,postfilter,faithfulness,All-poisoned,1200,161,232,12.468193384223918,0.0004139402477958941
GPT,baseline,postfilter,context_relevance,True,576,115,135,1.444,0.22949314873258017
GPT,baseline,postfilter,context_relevance,Survived,624,86,42,14.4453125,0.00014428851742548008
GPT,baseline,postfilter,context_relevance,All-poisoned,1200,201,177,1.3994708994708995,0.23681217938475632
GPT,baseline,postfilter,answer_relevance,True,576,82,110,3.796875,0.05134833256326058
GPT,baseline,postfilter,answer_relevance,Survived,624,54,72,2.2936507936507935,0.12990404862274807
GPT,baseline,postfilter,answer_relevance,All-poisoned,1200,136,182,6.367924528301887,0.011620142397185973
GPT,baseline,postfilter_llm,faithfulness,True,576,46,39,0.4235294117647059,0.5151811696121632
GPT,baseline,postfilter_llm,faithfulness,Survived,624,39,99,25.22463768115942,5.102617161085455e-07
GPT,baseline,postfilter_llm,faithfulness,All-poisoned,1200,85,138,12.125560538116591,0.0004973537939691055
GPT,baseline,postfilter_llm,context_relevance,True,576,82,67,1.3154362416107384,0.25141274797072627
GPT,baseline,postfilter_llm,context_relevance,Survived,624,31,51,4.402439024390244,0.03588757033175105
GPT,baseline,postfilter_llm,context_relevance,All-poisoned,1200,113,118,0.06926406926406926,0.792411322729272
GPT,baseline,postfilter_llm,answer_relevance,True,576,50,39,1.1235955056179776,0.28914556379724804
GPT,baseline,postfilter_llm,answer_relevance,Survived,624,32,51,3.9036144578313254,0.04818234199339229
GPT,baseline,postfilter_llm,answer_relevance,All-poisoned,1200,82,90,0.28488372093023256,0.5935179734399718
GEMINI,baseline,postfilter,faithfulness,True,576,93,145,10.928571428571429,0.0009469248380678992
GEMINI,baseline,postfilter,faithfulness,Survived,623,69,24,20.817204301075268,5.052703540469839e-06
GEMINI,baseline,postfilter,faithfulness,All-poisoned,1199,162,169,0.10876132930513595,0.7415587754157267
GEMINI,baseline,postfilter,context_relevance,True,576,98,84,0.9285714285714286,0.3352344137959569
GEMINI,baseline,postfilter,context_relevance,Survived,623,48,13,18.950819672131146,1.3413164157049878e-05
GEMINI,baseline,postfilter,context_relevance,All-poisoned,1199,146,97,9.481481481481481,0.002075562925742706
GEMINI,baseline,postfilter,answer_relevance,True,576,61,66,0.12598425196850394,0.7226325905834432
GEMINI,baseline,postfilter,answer_relevance,Survived,623,26,5,12.903225806451612,0.00032801631501352897
GEMINI,baseline,postfilter,answer_relevance,All-poisoned,1199,87,71,1.4240506329113924,0.23273783772534737
GEMINI,baseline,postfilter_llm,faithfulness,True,575,26,22,0.1875,0.6650055421020291
GEMINI,baseline,postfilter_llm,faithfulness,Survived,622,23,21,0.022727272727272728,0.8801684549067255
GEMINI,baseline,postfilter_llm,faithfulness,All-poisoned,1197,49,43,0.2717391304347826,0.6021675277481958
GEMINI,baseline,postfilter_llm,context_relevance,True,575,59,9,35.30882352941177,2.8135449397763683e-09
GEMINI,baseline,postfilter_llm,context_relevance,Survived,622,11,6,0.9411764705882353,0.3319754670827342
GEMINI,baseline,postfilter_llm,context_relevance,All-poisoned,1197,70,15,34.305882352941175,4.70956141005441e-09
GEMINI,baseline,postfilter_llm,answer_relevance,True,575,13,22,1.8285714285714285,0.17629637444050728
GEMINI,baseline,postfilter_llm,answer_relevance,Survived,622,11,4,2.4,0.1213352503584821
GEMINI,baseline,postfilter_llm,answer_relevance,All-poisoned,1197,24,26,0.02,0.887537083981715
DEEPSEEK,baseline,postfilter,faithfulness,True,576,66,154,34.404545454545456,4.47676552363568e-09
DEEPSEEK,baseline,postfilter,faithfulness,Survived,624,48,183,77.73160173160173,1.1803764257176707e-18
DEEPSEEK,baseline,postfilter,faithfulness,All-poisoned,1200,114,337,109.27716186252772,1.4110876074526827e-25
DEEPSEEK,baseline,postfilter,context_relevance,True,576,14,180,140.33505154639175,2.2487766245024349e-32
DEEPSEEK,baseline,postfilter,context_relevance,Survived,624,77,122,9.728643216080402,0.001814183581912206
DEEPSEEK,baseline,postfilter,context_relevance,All-poisoned,1200,91,302,112.21374045801527,3.207933219832524e-26
DEEPSEEK,baseline,postfilter,answer_relevance,True,576,68,103,6.760233918128655,0.00932115408995245
DEEPSEEK,baseline,postfilter,answer_relevance,Survived,624,55,73,2.2578125,0.13294173056504696
DEEPSEEK,baseline,postfilter,answer_relevance,All-poisoned,1200,123,176,9.043478260869565,0.0026363357664057727
DEEPSEEK,baseline,postfilter_llm,faithfulness,True,576,12,42,15.574074074074074,7.933498720275357e-05
DEEPSEEK,baseline,postfilter_llm,faithfulness,Survived,624,9,148,121.29936305732484,3.2860894933694756e-28
DEEPSEEK,baseline,postfilter_llm,faithfulness,All-poisoned,1200,21,190,133.76303317535545,6.15616458104507e-31
DEEPSEEK,baseline,postfilter_llm,context_relevance,True,576,11,47,21.120689655172413,4.312468453366182e-06
DEEPSEEK,baseline,postfilter_llm,context_relevance,Survived,624,24,97,42.84297520661157,5.931469752439884e-11
DEEPSEEK,baseline,postfilter_llm,context_relevance,All-poisoned,1200,35,144,65.16201117318435,6.898668083794574e-16
DEEPSEEK,baseline,postfilter_llm,answer_relevance,True,576,20,23,0.09302325581395349,0.7603683300552028
DEEPSEEK,baseline,postfilter_llm,answer_relevance,Survived,624,13,56,25.565217391304348,4.2767974022149487e-07
DEEPSEEK,baseline,postfilter_llm,answer_relevance,All-poisoned,1200,33,79,18.080357142857142,2.1177494737912632e-05
