judge,condition,metric,clean_mean,clean_n,standard_mean,standard_n,true_mean,true_n,survived_mean,survived_n,true_fpr,survived_fpr
GPT,baseline,faithfulness,0.7158083333333334,1200,0.5191166666666667,1200,0.3907291666666667,576,0.6376282051282052,624,0.4027777777777778,0.6955128205128205
GPT,baseline,context_relevance,0.7336416666666666,1200,0.6240083333333333,1200,0.5080381944444444,576,0.7310576923076922,624,0.546875,0.8798076923076923
GPT,baseline,answer_relevance,0.8506666666666667,1200,0.7111583333333334,1200,0.6121875,576,0.8025160256410256,624,0.6197916666666666,0.8253205128205128
GEMINI,baseline,faithfulness,0.9569282136894826,1198,0.6862802335279399,1199,0.44218749999999996,576,0.9119582664526484,623,0.4461805555555556,0.9325842696629213
GEMINI,baseline,context_relevance,0.9080968280467446,1198,0.8126355296080066,1199,0.6950520833333332,576,0.9213483146067416,623,0.7430555555555556,0.9678972712680578
GEMINI,baseline,answer_relevance,0.9579298831385642,1198,0.8650959132610508,1199,0.7666666666666667,576,0.9560995184590692,623,0.8003472222222222,0.971107544141252
DEEPSEEK,baseline,faithfulness,0.78,1200,0.40725000000000006,1200,0.31371527777777775,576,0.4935897435897436,624,0.3142361111111111,0.5032051282051282
DEEPSEEK,baseline,context_relevance,0.5329166666666667,1200,0.31133333333333335,1200,0.13524305555555557,576,0.4738782051282052,624,0.1076388888888889,0.5272435897435898
DEEPSEEK,baseline,answer_relevance,0.8383333333333334,1200,0.65125,1200,0.5381944444444444,576,0.7556089743589743,624,0.5381944444444444,0.7564102564102564
GPT,postfilter,faithfulness,0.7118166666666668,1200,0.5690500000000001,1200,0.4435590277777778,576,0.6848878205128205,624,0.4756944444444444,0.7419871794871795
GPT,postfilter,context_relevance,0.7208666666666667,1200,0.6062833333333333,1200,0.5240625,576,0.6821794871794872,624,0.5815972222222222,0.8092948717948718
GPT,postfilter,answer_relevance,0.8466,1200,0.7523666666666667,1200,0.6576388888888889,576,0.8398076923076923,624,0.6684027777777778,0.8541666666666666
GEMINI,postfilter,faithfulness,0.9557500000000001,1200,0.6890833333333334,1200,0.5138020833333333,576,0.8508814102564103,624,0.5364583333333334,0.8605769230769231
GEMINI,postfilter,context_relevance,0.9116666666666666,1200,0.77075,1200,0.6655381944444445,576,0.8678685897435897,624,0.71875,0.9118589743589743
GEMINI,postfilter,answer_relevance,0.959,1200,0.858125,1200,0.7975694444444444,576,0.9140224358974357,624,0.8090277777777778,0.9375
DEEPSEEK,postfilter,faithfulness,0.7791666666666667,1200,0.5973333333333333,1200,0.46493055555555546,576,0.719551282051282,624,0.4670138888888889,0.719551282051282
DEEPSEEK,postfilter,context_relevance,0.5409999999999999,1200,0.39616666666666667,1200,0.31545138888888885,576,0.47067307692307697,624,0.3958333333333333,0.5993589743589743
DEEPSEEK,postfilter,answer_relevance,0.8316666666666667,1200,0.6908333333333333,1200,0.5894097222222222,576,0.7844551282051282,624,0.5989583333333334,0.7852564102564102
GPT,postfilter_llm,faithfulness,0.7193916666666667,1200,0.5627749999999999,1200,0.37390625,576,0.7371153846153847,624,0.390625,0.7916666666666666
GPT,postfilter_llm,context_relevance,0.7253666666666667,1200,0.6263666666666666,1200,0.4836631944444444,576,0.7580929487179486,624,0.5208333333333334,0.9118589743589743
GPT,postfilter_llm,answer_relevance,0.8391666666666666,1200,0.7226166666666668,1200,0.5957291666666666,576,0.8397435897435898,624,0.6006944444444444,0.8557692307692307
GEMINI,postfilter_llm,faithfulness,0.9098415346121769,1199,0.677237061769616,1198,0.4206086956521739,575,0.9140930979133227,623,0.44,0.92776886035313
GEMINI,postfilter_llm,context_relevance,0.8946622185154294,1199,0.7673622704507512,1198,0.6113913043478261,575,0.9113162118780096,623,0.6556521739130434,0.9598715890850722
GEMINI,postfilter_llm,answer_relevance,0.937114261884904,1199,0.8726961602671117,1198,0.7897391304347826,575,0.9492616372391653,623,0.8156521739130435,0.9598715890850722
DEEPSEEK,postfilter_llm,faithfulness,0.7923333333333333,1200,0.551,1200,0.3663194444444444,576,0.721474358974359,624,0.3663194444444444,0.7259615384615384
DEEPSEEK,postfilter_llm,context_relevance,0.5543333333333333,1200,0.364,1200,0.1767361111111111,576,0.5368589743589743,624,0.1701388888888889,0.6442307692307693
DEEPSEEK,postfilter_llm,answer_relevance,0.8308333333333333,1200,0.6885,1200,0.5414930555555555,576,0.8241987179487179,624,0.5434027777777778,0.8253205128205128
